W T
12777.3 0.6308
12782.7 0.63015
12788.2 0.62947
12793.6 0.628738
12799.1 0.628687
12804.5 0.629229
12810 0.62982
12815.4 0.630447
12820.9 0.631108
12826.3 0.631808
12831.8 0.632561
12837.2 0.633393
12842.7 0.634392
12848.1 0.631905
12853.6 0.626532
12859 0.620974
12864.5 0.615313
12869.9 0.609585
12875.4 0.603808
12880.8 0.597999
12886.3 0.592166
12891.7 0.586317
12897.2 0.580457
12902.6 0.574589
12908.1 0.568716
12913.6 0.562833
12919 0.556923
12924.5 0.552443
12929.9 0.54883
12935.4 0.545246
12940.8 0.541674
12946.3 0.53811
12951.7 0.534549
12957.2 0.53099
12962.6 0.527432
12968.1 0.523876
12973.5 0.520321
12979 0.516769
12984.4 0.513223
12989.9 0.509689
12995.3 0.505895
13000.8 0.500448
13006.2 0.494994
13011.7 0.489553
13017.1 0.484134
13022.6 0.478741
13028 0.473375
13033.5 0.468039
13038.9 0.462735
13044.4 0.457462
13049.8 0.452223
13055.3 0.447018
13060.7 0.441847
13066.2 0.43671
13071.7 0.431609
13077.1 0.426542
13082.6 0.421512
13088 0.416516
13093.5 0.411556
13098.9 0.406632
13104.4 0.401743
13109.8 0.396889
13115.3 0.39207
13120.7 0.387285
13126.2 0.382535
13131.6 0.37782
13137.1 0.373138
13142.5 0.368489
13148 0.363873
13153.4 0.359288
13158.9 0.354735
13164.3 0.350212
13169.8 0.345716
13175.2 0.341246
13180.7 0.336794
13186.1 0.33336
13191.6 0.331824
13197 0.330285
13202.5 0.328734
13207.9 0.327168
13213.4 0.325583
13218.8 0.32398
13224.3 0.322356
13229.8 0.320711
13235.2 0.319044
13240.7 0.317354
13246.1 0.315641
13251.6 0.313904
13257 0.312143
13262.5 0.31034
13267.9 0.308331
13273.4 0.306297
13278.8 0.304238
13284.3 0.302155
13289.7 0.300046
13295.2 0.297912
13300.6 0.295752
13306.1 0.293566
13311.5 0.291354
13317 0.289113
13322.4 0.286842
13327.9 0.284538
13333.3 0.282189
13338.8 0.281666
13344.2 0.282427
13349.7 0.283175
13355.1 0.283901
13360.6 0.284603
13366 0.285278
13371.5 0.285926
13376.9 0.286547
13382.4 0.287146
13387.9 0.286885
13393.3 0.286
13398.8 0.285072
13404.2 0.284107
13409.7 0.283107
13415.1 0.282075
13420.6 0.281014
13426 0.279925
13431.5 0.278811
13436.9 0.277674
13442.4 0.276516
13447.8 0.275339
13453.3 0.274598
13458.7 0.274436
13464.2 0.274275
13469.6 0.274117
13475.1 0.273965
13480.5 0.273824
13486 0.273698
13491.4 0.273593
13496.9 0.273516
13502.3 0.273472
13507.8 0.273468
13513.2 0.273512
13518.7 0.273611
13524.1 0.273775
13529.6 0.273971
13535 0.273192
13540.5 0.272484
13546 0.27186
13551.4 0.27133
13556.9 0.270901
13562.3 0.27058
13567.8 0.270374
13573.2 0.27029
13578.7 0.270333
13584.1 0.27051
13589.6 0.270826
13595 0.271287
13600.5 0.271899
13605.9 0.272665
13611.4 0.273592
13616.8 0.274683
13622.3 0.275945
13627.7 0.277387
13633.2 0.277091
13638.6 0.275591
13644.1 0.274231
13649.5 0.273014
13655 0.271935
13660.4 0.27099
13665.9 0.270173
13671.3 0.269479
13676.8 0.2689
13682.2 0.268431
13687.7 0.268063
13693.1 0.267791
13698.6 0.267607
13704 0.267504
13709.5 0.267474
13715 0.267511
13720.4 0.267608
13725.9 0.267757
13731.3 0.267952
13736.8 0.268187
13742.2 0.268454
13747.7 0.268749
13753.1 0.269064
13758.6 0.269394
13764 0.269733
13769.5 0.270077
13774.9 0.270421
13780.4 0.270759
13785.8 0.271089
13791.3 0.271405
13796.7 0.271704
13802.2 0.271982
13807.6 0.272237
13813.1 0.272466
13818.5 0.272666
13824 0.272835
13829.4 0.27297
13834.9 0.273071
13840.3 0.273135
13845.8 0.273162
13851.2 0.273192
13856.7 0.273633
13862.1 0.274036
13867.6 0.274399
13873.1 0.274721
13878.5 0.275003
13884 0.275243
13889.4 0.275441
13894.9 0.275598
13900.3 0.275712
13905.8 0.275785
13911.2 0.275817
13916.7 0.275807
13922.1 0.275756
13927.6 0.275665
13933 0.275535
13938.5 0.275365
13943.9 0.275157
13949.4 0.27491
13954.8 0.274627
13960.3 0.274307
13965.7 0.273952
13971.2 0.273563
13976.6 0.273139
13982.1 0.272683
13987.5 0.272195
13993 0.271675
13998.4 0.271125
14003.9 0.270546
14009.3 0.269939
14014.8 0.269304
14020.2 0.268643
14025.7 0.267956
14031.2 0.267245
14036.6 0.266509
14042.1 0.265751
14047.5 0.26497
14053 0.264168
14058.4 0.263346
14063.9 0.262504
14069.3 0.261644
14074.8 0.260766
14080.2 0.25987
14085.7 0.258959
14091.1 0.258031
14096.6 0.257089
14102 0.256133
14107.5 0.255164
14112.9 0.254183
14118.4 0.253189
14123.8 0.252185
14129.3 0.251172
14134.7 0.250149
14140.2 0.24912
14145.6 0.248151
14151.1 0.247843
14156.5 0.247514
14162 0.247169
14167.4 0.24681
14172.9 0.246436
14178.3 0.24605
14183.8 0.245651
14189.3 0.245239
14194.7 0.244816
14200.2 0.244382
14205.6 0.243937
14211.1 0.243481
14216.5 0.243014
14222 0.242538
14227.4 0.242053
14232.9 0.241558
14238.3 0.241054
14243.8 0.240541
14249.2 0.24002
14254.7 0.239491
14260.1 0.238954
14265.6 0.23841
14271 0.237858
14276.5 0.237299
14281.9 0.236733
14287.4 0.23616
14292.8 0.235581
14298.3 0.234996
14303.7 0.234405
14309.2 0.233808
14314.6 0.233206
14320.1 0.232598
14325.5 0.231985
14331 0.231367
14336.4 0.230744
14341.9 0.230117
14347.4 0.229485
14352.8 0.228849
14358.3 0.228209
14363.7 0.227566
14369.2 0.226918
14374.6 0.226267
14380.1 0.225612
14385.5 0.224955
14391 0.224294
14396.4 0.22363
14401.9 0.222964
14407.3 0.222295
14412.8 0.221624
14418.2 0.220951
14423.7 0.220276
14429.1 0.219601
14434.6 0.218924
14440 0.218274
14445.5 0.217899
14450.9 0.217515
14456.4 0.217126
14461.8 0.216731
14467.3 0.216332
14472.7 0.215928
14478.2 0.215521
14483.6 0.215109
14489.1 0.214694
14494.5 0.214275
14500 0.213852
14505.5 0.213427
14510.9 0.212997
14516.4 0.212565
14521.8 0.212129
14527.3 0.21169
14532.7 0.211248
14538.2 0.210804
14543.6 0.210356
14549.1 0.209906
14554.5 0.209453
14560 0.208997
14565.4 0.208539
14570.9 0.208078
14576.3 0.207614
14581.8 0.207148
14587.2 0.20668
14592.7 0.20621
14598.1 0.205737
14603.6 0.205262
14609 0.204785
14614.5 0.204306
14619.9 0.203825
14625.4 0.203342
14630.8 0.202856
14636.3 0.202369
14641.7 0.20188
14647.2 0.20139
14652.6 0.200897
14658.1 0.200403
14663.6 0.199907
14669 0.199409
14674.5 0.19891
14679.9 0.198409
14685.4 0.197907
14690.8 0.197403
14696.3 0.196897
14701.7 0.19639
14707.2 0.195882
14712.6 0.195372
14718.1 0.194861
14723.5 0.194348
14729 0.193833
14734.4 0.193313
14739.9 0.192739
14745.3 0.192166
14750.8 0.191592
14756.2 0.191018
14761.7 0.190443
14767.1 0.189869
14772.6 0.189293
14778 0.188718
14783.5 0.188142
14788.9 0.187565
14794.4 0.186989
14799.8 0.186412
14805.3 0.185834
14810.7 0.185256
14816.2 0.184678
14821.7 0.1841
14827.1 0.183522
14832.6 0.182943
14838 0.182364
14843.5 0.181785
14848.9 0.181206
14854.4 0.180627
14859.8 0.180048
14865.3 0.179468
14870.7 0.178889
14876.2 0.178309
14881.6 0.17773
14887.1 0.17715
14892.5 0.176571
14898 0.175991
14903.4 0.175412
14908.9 0.174833
14914.3 0.174254
14919.8 0.173675
14925.2 0.173096
14930.7 0.172517
14936.1 0.171939
14941.6 0.171361
14947 0.170783
14952.5 0.170205
14957.9 0.169628
14963.4 0.169051
14968.8 0.168475
14974.3 0.167898
14979.8 0.167323
14985.2 0.166747
14990.7 0.166172
14996.1 0.165598
15001.6 0.165024
15007 0.164452
15012.5 0.16388
15017.9 0.163309
15023.4 0.162739
15028.8 0.162185
15034.3 0.161817
15039.7 0.161445
15045.2 0.161071
15050.6 0.160696
15056.1 0.160319
15061.5 0.15994
15067 0.159561
15072.4 0.15918
15077.9 0.158798
15083.3 0.158415
15088.8 0.158032
15094.2 0.157647
15099.7 0.157261
15105.1 0.156875
15110.6 0.156487
15116 0.156099
15121.5 0.15571
15126.9 0.155321
15132.4 0.15493
15137.9 0.154539
15143.3 0.154148
15148.8 0.153755
15154.2 0.153362
15159.7 0.152969
15165.1 0.152574
15170.6 0.15218
15176 0.151784
15181.5 0.151389
15186.9 0.150992
15192.4 0.150596
15197.8 0.150199
15203.3 0.149801
15208.7 0.149403
15214.2 0.149005
15219.6 0.148606
15225.1 0.148207
15230.5 0.147807
15236 0.147408
15241.4 0.147007
15246.9 0.146607
15252.3 0.146207
15257.8 0.145806
15263.2 0.145405
15268.7 0.145004
15274.1 0.144602
15279.6 0.144201
15285 0.143799
15290.5 0.143397
15296 0.142996
15301.4 0.142594
15306.9 0.142192
15312.3 0.141789
15317.8 0.141387
15323.2 0.140984
15328.7 0.140559
15334.1 0.140134
15339.6 0.13971
15345 0.139287
15350.5 0.138863
15355.9 0.13844
15361.4 0.138017
15366.8 0.137594
15372.3 0.137172
15377.7 0.13675
15383.2 0.136329
15388.6 0.135908
15394.1 0.135487
15399.5 0.135067
15405 0.134648
15410.4 0.134228
15415.9 0.13381
15421.3 0.133392
15426.8 0.132974
15432.2 0.132557
15437.7 0.13214
15443.1 0.131724
15448.6 0.131309
15454 0.130894
15459.5 0.13048
15465 0.130067
15470.4 0.129654
15475.9 0.129242
15481.3 0.128831
15486.8 0.128421
15492.2 0.128011
15497.7 0.127602
15503.1 0.127194
15508.6 0.126787
15514 0.12638
15519.5 0.125975
15524.9 0.12557
15530.4 0.125166
15535.8 0.124763
15541.3 0.124361
15546.7 0.12396
15552.2 0.12356
15557.6 0.123161
15563.1 0.122764
15568.5 0.122367
15574 0.121971
15579.4 0.121576
15584.9 0.121183
15590.3 0.12079
15595.8 0.120399
15601.2 0.120008
15606.7 0.119619
15612.1 0.119232
15617.6 0.118849
15623.1 0.118562
15628.5 0.118275
15634 0.11799
15639.4 0.117705
15644.9 0.11742
15650.3 0.117137
15655.8 0.116855
15661.2 0.116573
15666.7 0.116292
15672.1 0.116013
15677.6 0.115734
15683 0.115456
15688.5 0.11518
15693.9 0.114904
15699.4 0.11463
15704.8 0.114357
15710.3 0.114085
15715.7 0.113814
15721.2 0.113544
15726.6 0.113276
15732.1 0.113009
15737.5 0.112743
15743 0.112478
15748.4 0.112215
15753.9 0.111954
15759.3 0.111693
15764.8 0.111435
15770.2 0.111177
15775.7 0.110921
15781.2 0.110667
15786.6 0.110414
15792.1 0.110163
15797.5 0.109914
15803 0.109666
15808.4 0.10942
15813.9 0.109176
15819.3 0.108933
15824.8 0.108692
15830.2 0.108453
15835.7 0.108216
15841.1 0.107981
15846.6 0.107747
15852 0.107516
15857.5 0.107286
15862.9 0.107058
15868.4 0.106833
15873.8 0.106609
15879.3 0.106388
15884.7 0.106169
15890.2 0.105952
15895.6 0.105737
15901.1 0.105525
15906.5 0.105315
15912 0.105105
15917.4 0.104781
15922.9 0.10446
15928.3 0.104141
15933.8 0.103824
15939.3 0.10351
15944.7 0.103199
15950.2 0.102891
15955.6 0.102585
15961.1 0.102282
15966.5 0.101982
15972 0.101685
15977.4 0.10139
15982.9 0.101098
15988.3 0.100809
15993.8 0.100523
15999.2 0.10024
16004.7 0.09996
16010.1 0.0996826
16015.6 0.0994082
16021 0.0991367
16026.5 0.0988681
16031.9 0.0986025
16037.4 0.0983399
16042.8 0.0980802
16048.3 0.0978235
16053.7 0.0975698
16059.2 0.0973192
16064.6 0.0970715
16070.1 0.0968269
16075.5 0.0965853
16081 0.0963467
16086.4 0.0961112
16091.9 0.0958788
16097.4 0.0956495
16102.8 0.0954232
16108.3 0.0952001
16113.7 0.0949801
16119.2 0.0947631
16124.6 0.0945494
16130.1 0.0943387
16135.5 0.0941313
16141 0.093927
16146.4 0.0937259
16151.9 0.093528
16157.3 0.0933333
16162.8 0.0931419
16168.2 0.0929538
16173.7 0.092769
16179.1 0.0925876
16184.6 0.0924097
16190 0.0922352
16195.5 0.0920645
16200.9 0.091898
16206.4 0.0917332
16211.8 0.0914235
16217.3 0.0911151
16222.7 0.0908094
16228.2 0.0905068
16233.6 0.0902073
16239.1 0.0899112
16244.5 0.0896183
16250 0.0893287
16255.5 0.0890424
16260.9 0.0887594
16266.4 0.0884798
16271.8 0.0882034
16277.3 0.0879304
16282.7 0.0876606
16288.2 0.0873941
16293.6 0.0871309
16299.1 0.0868709
16304.5 0.0866141
16310 0.0863605
16315.4 0.0861101
16320.9 0.0858628
16326.3 0.0856187
16331.8 0.0853777
16337.2 0.0851398
16342.7 0.0849049
16348.1 0.0846731
16353.6 0.0844444
16359 0.0842186
16364.5 0.0839958
16369.9 0.083776
16375.4 0.083559
16380.8 0.083345
16386.3 0.0831339
16391.7 0.0829256
16397.2 0.0827201
16402.6 0.0825175
16408.1 0.0823176
16413.6 0.0821204
16419 0.081926
16424.5 0.0817343
16429.9 0.0815452
16435.4 0.0813588
16440.8 0.081175
16446.3 0.0809937
16451.7 0.080815
16457.2 0.0806388
16462.6 0.0804652
16468.1 0.0802939
16473.5 0.0801251
16479 0.0799587
16484.4 0.0797947
16489.9 0.079633
16495.3 0.0794735
16500.8 0.0793163
16506.2 0.0791698
16511.7 0.0790258
16517.1 0.0788841
16522.6 0.0787446
16528 0.0786073
16533.5 0.0784721
16538.9 0.0783391
16544.4 0.0782082
16549.8 0.0780794
16555.3 0.0779526
16560.7 0.0778278
16566.2 0.0777049
16571.7 0.0775841
16577.1 0.0774651
16582.6 0.077348
16588 0.0772328
16593.5 0.0771195
16598.9 0.0770079
16604.4 0.0768982
16609.8 0.0767902
16615.3 0.0766839
16620.7 0.0765794
16626.2 0.0764765
16631.6 0.0763753
16637.1 0.0762757
16642.5 0.0761777
16648 0.0760813
16653.4 0.0759864
16658.9 0.0758932
16664.3 0.0758014
16669.8 0.0757111
16675.2 0.0756223
16680.7 0.075535
16686.1 0.0754491
16691.6 0.0753647
16697 0.0752817
16702.5 0.0752001
16707.9 0.07512
16713.4 0.0750412
16718.8 0.074964
16724.3 0.0748881
16729.8 0.0748138
16735.2 0.0747411
16740.7 0.0746701
16746.1 0.0746009
16751.6 0.0745341
16757 0.0744712
16762.5 0.0743104
16767.9 0.0741136
16773.4 0.0739162
16778.8 0.0737187
16784.3 0.0735215
16789.7 0.0733248
16795.2 0.0731285
16800.6 0.0729328
16806.1 0.0727377
16811.5 0.0725431
16817 0.0723491
16822.4 0.0721557
16827.9 0.0719629
16833.3 0.0717706
16838.8 0.0715789
16844.2 0.0713877
16849.7 0.071197
16855.1 0.0710069
16860.6 0.0708172
16866 0.070628
16871.5 0.0704392
16876.9 0.0702508
16882.4 0.0700628
16887.9 0.0698752
16893.3 0.0696879
16898.8 0.0695009
16904.2 0.0693142
16909.7 0.0691278
16915.1 0.0689417
16920.6 0.0687557
16926 0.0685699
16931.5 0.0683842
16936.9 0.0681987
16942.4 0.0680132
16947.8 0.0678278
16953.3 0.0676424
16958.7 0.0674569
16964.2 0.0672713
16969.6 0.0670855
16975.1 0.0668994
16980.5 0.066713
16986 0.0665261
16991.4 0.0663384
16996.9 0.0661494
17002.3 0.0659579
17007.8 0.0658424
17013.2 0.0657573
17018.7 0.0656738
17024.1 0.0655911
17029.6 0.065509
17035 0.0654272
17040.5 0.0653457
17046 0.0652643
17051.4 0.065183
17056.9 0.0651017
17062.3 0.0650204
17067.8 0.064939
17073.2 0.0648575
17078.7 0.0647758
17084.1 0.0646941
17089.6 0.0646121
17095 0.0645299
17100.5 0.0644475
17105.9 0.0643648
17111.4 0.0642819
17116.8 0.0641986
17122.3 0.0641151
17127.7 0.0640312
17133.2 0.063947
17138.6 0.0638624
17144.1 0.0637774
17149.5 0.0636921
17155 0.0636063
17160.4 0.0635201
17165.9 0.0634335
17171.3 0.0633465
17176.8 0.0632589
17182.2 0.0631709
17187.7 0.0630825
17193.1 0.0629935
17198.6 0.0629039
17204 0.0628139
17209.5 0.0627233
17215 0.0626321
17220.4 0.0625404
17225.9 0.062448
17231.3 0.0623549
17236.8 0.0622612
17242.2 0.0621668
17247.7 0.0620716
17253.1 0.0619754
17258.6 0.061878
17264 0.0617945
17269.5 0.0617282
17274.9 0.0616621
17280.4 0.0615957
17285.8 0.061529
17291.3 0.061462
17296.7 0.0613945
17302.2 0.0613265
17307.6 0.0612581
17313.1 0.0611891
17318.5 0.0611196
17324 0.0610496
17329.4 0.060979
17334.9 0.0609079
17340.3 0.0608362
17345.8 0.0607639
17351.2 0.060691
17356.7 0.0606174
17362.1 0.0605433
17367.6 0.0604686
17373.1 0.0603933
17378.5 0.0603173
17384 0.0602407
17389.4 0.0601634
17394.9 0.0600855
17400.3 0.060007
17405.8 0.0599278
17411.2 0.0598479
17416.7 0.0597674
17422.1 0.0596862
17427.6 0.0596043
17433 0.0595218
17438.5 0.0594385
17443.9 0.0593546
17449.4 0.0592699
17454.8 0.0591845
17460.3 0.0590984
17465.7 0.0590116
17471.2 0.058924
17476.6 0.0588356
17482.1 0.0587465
17487.5 0.0586565
17493 0.0585656
17498.4 0.0584739
17503.9 0.0583811
17509.3 0.0582871
17514.8 0.0581916
17520.2 0.0581041
17525.7 0.0580536
17531.2 0.0580039
17536.6 0.0579543
17542.1 0.0579046
17547.5 0.0578546
17553 0.0578043
17558.4 0.0577535
17563.9 0.0577024
17569.3 0.0576508
17574.8 0.0575988
17580.2 0.0575462
17585.7 0.0574932
17591.1 0.0574397
17596.6 0.0573857
17602 0.0573312
17607.5 0.0572761
17612.9 0.0572206
17618.4 0.0571645
17623.8 0.0571079
17629.3 0.0570508
17634.7 0.0569931
17640.2 0.056935
17645.6 0.0568763
17651.1 0.056817
17656.5 0.0567573
17662 0.0566971
17667.4 0.0566363
17672.9 0.056575
17678.3 0.0565132
17683.8 0.0564509
17689.3 0.0563881
17694.7 0.0563249
17700.2 0.0562611
17705.6 0.0561968
17711.1 0.0561321
17716.5 0.0560669
17722 0.0560012
17727.4 0.0559351
17732.9 0.0558685
