W T
15939 0.574935
15942.3 0.574865
15945.6 0.574796
15948.9 0.574727
15952.2 0.574658
15955.5 0.57459
15958.8 0.574521
15962.1 0.574453
15965.4 0.574384
15968.7 0.574316
15972 0.574248
15975.3 0.57418
15978.6 0.574112
15981.9 0.574045
15985.2 0.573977
15988.5 0.573909
15991.8 0.573842
15995.1 0.573775
15998.4 0.573708
16001.6 0.573641
16004.9 0.573574
16008.2 0.573507
16011.5 0.57344
16014.8 0.573374
16018.1 0.573307
16021.4 0.573241
16024.7 0.573174
16028 0.573108
16031.3 0.573042
16034.6 0.572976
16037.9 0.57291
16041.2 0.572844
16044.5 0.572779
16047.8 0.572713
16051.1 0.572648
16054.4 0.572582
16057.7 0.572517
16061 0.572452
16064.3 0.572387
16067.5 0.572321
16070.8 0.572257
16074.1 0.572192
16077.4 0.572127
16080.7 0.572062
16084 0.571998
16087.3 0.571933
16090.6 0.571869
16093.9 0.571804
16097.2 0.57174
16100.5 0.571676
16103.8 0.571612
16107.1 0.571548
16110.4 0.571484
16113.7 0.57142
16117 0.571356
16120.3 0.571293
16123.6 0.571229
16126.9 0.571166
16130.1 0.571102
16133.4 0.571039
16136.7 0.570976
16140 0.570912
16143.3 0.570849
16146.6 0.570786
16149.9 0.570723
16153.2 0.570661
16156.5 0.570598
16159.8 0.570535
16163.1 0.570472
16166.4 0.57041
16169.7 0.570347
16173 0.570285
16176.3 0.570223
16179.6 0.570161
16182.9 0.570098
16186.2 0.570036
16189.5 0.569974
16192.8 0.569912
16196 0.56985
16199.3 0.569789
16202.6 0.569727
16205.9 0.569665
16209.2 0.569604
16212.5 0.569542
16215.8 0.569481
16219.1 0.56942
16222.4 0.569358
16225.7 0.569297
16229 0.569236
16232.3 0.569175
16235.6 0.569114
16238.9 0.569053
16242.2 0.568992
16245.5 0.568931
16248.8 0.568871
16252.1 0.56881
16255.4 0.568749
16258.6 0.568689
16261.9 0.568629
16265.2 0.568568
16268.5 0.568508
16271.8 0.568448
16275.1 0.568388
16278.4 0.568328
16281.7 0.568268
16285 0.568208
16288.3 0.568148
16291.6 0.568088
16294.9 0.568028
16298.2 0.567969
16301.5 0.567909
16304.8 0.567849
16308.1 0.56779
16311.4 0.567731
16314.7 0.567671
16318 0.567612
16321.3 0.567553
16324.5 0.567494
16327.8 0.567435
16331.1 0.567376
16334.4 0.567317
16337.7 0.567258
16341 0.567199
16344.3 0.56714
16347.6 0.567082
16350.9 0.567023
16354.2 0.566964
16357.5 0.566906
16360.8 0.566848
16364.1 0.566789
16367.4 0.566731
16370.7 0.566673
16374 0.566615
16377.3 0.566557
16380.6 0.566499
16383.9 0.566441
16387.1 0.566383
16390.4 0.566325
16393.7 0.566267
16397 0.566209
16400.3 0.566152
16403.6 0.566094
16406.9 0.566037
16410.2 0.565979
16413.5 0.565922
16416.8 0.565865
16420.1 0.565807
16423.4 0.56575
16426.7 0.565693
16430 0.565636
16433.3 0.565579
16436.6 0.565522
16439.9 0.565465
16443.2 0.565408
16446.5 0.565352
16449.8 0.565295
16453 0.565238
16456.3 0.565182
16459.6 0.565125
16462.9 0.565069
16466.2 0.565012
16469.5 0.564956
16472.8 0.5649
16476.1 0.564843
16479.4 0.564787
16482.7 0.564731
16486 0.564675
16489.3 0.564619
16492.6 0.564563
16495.9 0.564507
16499.2 0.564452
16502.5 0.564396
16505.8 0.56434
16509.1 0.564285
16512.4 0.564229
16515.7 0.564174
