W TT
13367.7 -0.000181595
13372.7 -0.00018079
13377.8 -0.000179982
13382.8 -0.000179171
13387.9 -0.000178362
13392.9 -0.000177539
13398 -0.000176707
13403 -0.000175867
13408.1 -0.000175019
13413.1 -0.000174164
13418.2 -0.000173307
13423.2 -0.000172458
13428.3 -0.00017158
13433.3 -0.000170679
13438.4 -0.000169759
13443.4 -0.000168818
13448.4 -0.000167854
13453.5 -0.000166856
13458.5 -0.000165789
13463.6 -0.000164767
13468.6 -0.000163767
13473.7 -0.000162782
13478.7 -0.000161808
13483.8 -0.000160849
13488.8 -0.000159914
13493.9 -0.000159061
13498.9 -0.000158132
13504 -0.000157145
13509 -0.000156121
13514.1 -0.000155065
13519.1 -0.000153981
13524.2 -0.000152871
13529.2 -0.000151731
13534.2 -0.000150569
13539.3 -0.000149387
13544.3 -0.000148181
13549.4 -0.000146951
13554.4 -0.000145693
13559.5 -0.000144403
13564.5 -0.000143065
13569.6 -0.000141702
13574.6 -0.000140392
13579.7 -0.000139093
13584.7 -0.000137795
13589.8 -0.000136498
13594.8 -0.000135201
13599.9 -0.000133911
13604.9 -0.000132629
13609.9 -0.000131282
13615 -0.000129903
13620 -0.000128499
13625.1 -0.000127071
13630.1 -0.00012562
13635.2 -0.000124144
13640.2 -0.000122637
13645.3 -0.000121134
13650.3 -0.000119623
13655.4 -0.000118098
13660.4 -0.000116558
13665.5 -0.000115001
13670.5 -0.000113426
13675.6 -0.00011183
13680.6 -0.000110226
13685.7 -0.000108622
13690.7 -0.000107007
13695.7 -0.000105381
13700.8 -0.000103744
13705.8 -0.000102099
13710.9 -0.00010045
13715.9 -9.87927e-05
13721 -9.7002e-05
13726 -9.51593e-05
13731.1 -9.32749e-05
13736.1 -9.13513e-05
13741.2 -8.93884e-05
13746.2 -8.73836e-05
13751.3 -8.53238e-05
13756.3 -8.33298e-05
13761.4 -8.1369e-05
13766.4 -7.94001e-05
13771.4 -7.74183e-05
13776.5 -7.5422e-05
13781.5 -7.34116e-05
13786.6 -7.13908e-05
13791.6 -6.93293e-05
13796.7 -6.7125e-05
13801.7 -6.48721e-05
13806.8 -6.25771e-05
13811.8 -6.02416e-05
13816.9 -5.78653e-05
13821.9 -5.5446e-05
13827 -5.29739e-05
13832 -5.06051e-05
13837.1 -4.82762e-05
13842.1 -4.59326e-05
13847.2 -4.35697e-05
13852.2 -4.11854e-05
13857.2 -3.8779e-05
13862.3 -3.63507e-05
13867.3 -3.38849e-05
13872.4 -3.13031e-05
13877.4 -2.86814e-05
13882.5 -2.60229e-05
13887.5 -2.33286e-05
13892.6 -2.05985e-05
13897.6 -1.78333e-05
13902.7 -1.50348e-05
13907.7 -1.2126e-05
13912.8 -9.10769e-06
13917.8 -6.03907e-06
13922.9 -2.92171e-06
13927.9 2.44176e-07
13932.9 3.45889e-06
13938 6.72323e-06
13943 1.00399e-05
13948.1 1.32801e-05
13953.1 1.65486e-05
13958.2 1.98598e-05
13963.2 2.32155e-05
13968.3 2.66169e-05
13973.3 3.00649e-05
13978.4 3.35606e-05
13983.4 3.7097e-05
13988.5 4.06498e-05
13993.5 4.42512e-05
13998.6 4.79023e-05
14003.6 5.16042e-05
14008.7 5.53581e-05
14013.7 5.9165e-05
14018.7 6.30261e-05
14023.8 6.6964e-05
14028.8 7.09848e-05
14033.9 7.50642e-05
14038.9 7.92034e-05
14044 8.34035e-05
14049 8.76656e-05
