W E1 E2
12898.9 -0.000689047 0.000715953
12903.9 -0.000692291 0.000715835
12908.9 -0.000695547 0.00071571
12913.9 -0.000698817 0.000715578
12918.9 -0.0007021 0.000715438
12924 -0.000705398 0.000715292
12929 -0.000708708 0.000715138
12934 -0.000712033 0.000714977
12939 -0.000715371 0.000714809
12944 -0.000718724 0.000714633
12949.1 -0.00072209 0.00071445
12954.1 -0.00072547 0.000714259
12959.1 -0.000728865 0.00071406
12964.1 -0.000732274 0.000713854
12969.2 -0.000735697 0.000713639
12974.2 -0.000739135 0.000713417
12979.2 -0.000742588 0.000713187
12984.2 -0.000746055 0.000712949
12989.2 -0.000749536 0.000712703
12994.3 -0.000753033 0.000712449
12999.3 -0.000756544 0.000712186
13004.3 -0.000760071 0.000711916
13009.3 -0.000763612 0.000711636
13014.3 -0.000767169 0.000711348
13019.4 -0.000770741 0.000711052
13024.4 -0.000774329 0.000710747
13029.4 -0.000777932 0.000710433
13034.4 -0.00078155 0.00071011
13039.5 -0.000785185 0.000709779
13044.5 -0.000788835 0.000709438
13049.5 -0.000792501 0.000709089
13054.5 -0.000796183 0.00070873
13059.5 -0.000799881 0.000708362
13064.6 -0.000803595 0.000707984
13069.6 -0.000807326 0.000707597
13074.6 -0.000811073 0.000707201
13079.6 -0.000814837 0.000706794
13084.6 -0.000818617 0.000706378
13089.7 -0.000822415 0.000705953
13094.7 -0.000826229 0.000705517
13099.7 -0.00083006 0.000705071
13104.7 -0.000833908 0.000704615
13109.8 -0.000837773 0.000704149
13114.8 -0.000841656 0.000703673
13119.8 -0.000845556 0.000703186
13124.8 -0.000849474 0.000702688
13129.8 -0.000853409 0.00070218
13134.9 -0.000857363 0.000701661
13139.9 -0.000861334 0.000701131
13144.9 -0.000865323 0.00070059
13149.9 -0.000869331 0.000700038
13154.9 -0.000873357 0.000699475
13160 -0.000877401 0.000698901
13165 -0.000881465 0.000698315
13170 -0.000885546 0.000697717
13175 -0.000889647 0.000697108
13180.1 -0.000893767 0.000696487
13185.1 -0.000897906 0.000695853
13190.1 -0.000902064 0.000695208
13195.1 -0.000906241 0.000694551
13200.1 -0.000910438 0.000693881
13205.2 -0.000914655 0.000693199
13210.2 -0.000918892 0.000692504
13215.2 -0.000923149 0.000691797
13220.2 -0.000927426 0.000691076
13225.3 -0.000931723 0.000690343
13230.3 -0.00093604 0.000689596
13235.3 -0.000940379 0.000688836
13240.3 -0.000944738 0.000688063
13245.3 -0.000949118 0.000687276
13250.4 -0.000953519 0.000686475
13255.4 -0.000957941 0.000685661
13260.4 -0.000962385 0.000684832
13265.4 -0.00096685 0.000683989
13270.4 -0.000971338 0.000683132
13275.5 -0.000975847 0.000682261
13280.5 -0.000980378 0.000681374
13285.5 -0.000984931 0.000680473
13290.5 -0.000989507 0.000679557
13295.6 -0.000994105 0.000678625
13300.6 -0.000998727 0.000677678
13305.6 -0.00100337 0.000676716
13310.6 -0.00100804 0.000675738
13315.6 -0.00101273 0.000674744
13320.7 -0.00101744 0.000673734
13325.7 -0.00102218 0.000672708
13330.7 -0.00102694 0.000671665
13335.7 -0.00103173 0.000670606
13340.7 -0.00103654 0.000669529
13345.8 -0.00104137 0.000668436
13350.8 -0.00104623 0.000667325
13355.8 -0.00105112 0.000666197
13360.8 -0.00105603 0.000665052
