W E1 E2
13006.4 3.04744 0.0600572
13011.3 3.04968 0.063119
13016.3 3.051 0.0661823
13021.2 3.05155 0.0692471
13026.2 3.05129 0.0723134
13031.2 3.04998 0.0753813
13036.1 3.04595 0.0779512
13041.1 3.04287 0.0760505
13046 3.04149 0.0741514
13051 3.04088 0.0722539
13055.9 3.04078 0.070358
13060.9 3.04113 0.0684637
13065.9 3.04192 0.066571
13070.8 3.0435 0.0649203
13075.8 3.0449 0.0640537
13080.7 3.04616 0.0631888
13085.7 3.04742 0.0623256
13090.7 3.04875 0.061464
13095.6 3.05015 0.0606042
13100.6 3.05166 0.0597462
13105.5 3.05337 0.0589566
13110.5 3.0551 0.0583022
13115.4 3.05689 0.0576496
13120.4 3.05881 0.0569988
13125.4 3.06091 0.0563498
13130.3 3.06331 0.0557027
13135.3 3.06625 0.0550574
13140.2 3.07076 0.0556161
13145.2 3.07368 0.0580105
13150.1 3.07568 0.0604068
13155.1 3.07706 0.0628051
13160.1 3.0779 0.0652052
13165 3.07815 0.0676074
13170 3.07759 0.0700115
13174.9 3.07529 0.0711952
13179.9 3.07427 0.0707054
13184.8 3.07384 0.0702176
13189.8 3.07365 0.0697319
13194.8 3.07357 0.0692483
13199.7 3.0735 0.0687668
13204.7 3.07323 0.0682874
13209.6 3.07213 0.0670256
13214.6 3.07219 0.0646413
13219.5 3.07298 0.0622591
13224.5 3.07431 0.0598792
13229.5 3.0762 0.0575014
13234.4 3.07872 0.055126
13239.4 3.08222 0.0527528
13244.3 3.08816 0.0519497
13249.3 3.09213 0.0539021
13254.2 3.09495 0.0558569
13259.2 3.09711 0.057814
13264.2 3.09875 0.0597735
13269.1 3.09989 0.0617354
13274.1 3.10042 0.0636999
13279 3.09962 0.0650814
13284 3.09952 0.0649406
13289 3.0999 0.0648024
13293.9 3.10047 0.0646667
13298.9 3.10114 0.0645336
13303.8 3.10185 0.0644031
13308.8 3.10254 0.0642753
13313.7 3.10296 0.0640461
13318.7 3.10364 0.0632492
13323.7 3.10464 0.062455
13328.6 3.10584 0.0616636
13333.6 3.10722 0.060875
13338.5 3.10879 0.0600892
13343.5 3.1106 0.0593062
13348.4 3.11296 0.0585262
13353.4 3.11539 0.0589272
13358.4 3.11731 0.0593393
13363.3 3.11904 0.0597544
13368.3 3.12066 0.0601725
13373.2 3.12218 0.0605937
13378.2 3.12362 0.061018
13383.1 3.12493 0.0614454
13388.1 3.12613 0.0616937
13393.1 3.12743 0.061898
13398 3.12872 0.0621055
13403 3.13001 0.0623162
13407.9 3.13126 0.0625303
13412.9 3.13246 0.0627477
13417.8 3.13354 0.0629685
13422.8 3.13433 0.0628258
13427.8 3.13553 0.0623934
13432.7 3.13695 0.0619645
13437.7 3.13853 0.0615392
13442.6 3.14029 0.0611174
13447.6 3.14228 0.0606993
13452.5 3.14464 0.0602848
13457.5 3.14812 0.0604623
13462.5 3.15068 0.0621651
13467.4 3.15252 0.0638717
13472.4 3.15391 0.0655822
13477.3 3.15491 0.0672966
13482.3 3.15546 0.0690149
13487.3 3.15543 0.0707372
13492.2 3.1541 0.0724635
13497.2 3.15242 0.0711593
13502.1 3.15225 0.0697415
13507.1 3.15261 0.068328
13512 3.15333 0.0669187
13517 3.15433 0.0655137
13522 3.15558 0.064113
13526.9 3.15707 0.0627168
13531.9 3.15883 0.061434
13536.8 3.16067 0.0602262
13541.8 3.16266 0.0590231
13546.7 3.16483 0.0578246
13551.7 3.16722 0.0566308
13556.7 3.1699 0.0554417
13561.6 3.17302 0.0542575
13566.6 3.17742 0.0535676
13571.5 3.18102 0.0547081
13576.5 3.18388 0.0558537
13581.4 3.18636 0.0570044
13586.4 3.18855 0.0581602
13591.4 3.19046 0.0593213
13596.3 3.19205 0.0604876
13601.3 3.19311 0.0616593
13606.2 3.19359 0.0616377
13611.2 3.19489 0.0612749
13616.1 3.19647 0.0609176
13621.1 3.19824 0.060566
13626.1 3.20015 0.0602202
13631 3.20222 0.0598801
13636 3.20448 0.059546
13640.9 3.20717 0.0594221
13645.9 3.20961 0.0597823
13650.8 3.21189 0.0601487
13655.8 3.21412 0.0605213
13660.8 3.21631 0.0609002
13665.7 3.21848 0.0612855
13670.7 3.22068 0.0616774
13675.6 3.22296 0.0620758
13680.6 3.22535 0.0628653
13685.6 3.22739 0.0637687
13690.5 3.22925 0.0646789
13695.5 3.23094 0.0655961
13700.4 3.23243 0.0665204
13705.4 3.23368 0.0674519
13710.3 3.23451 0.0683907
13715.3 3.23406 0.068801
13720.3 3.23452 0.0673614
13725.2 3.23579 0.0659295
13730.2 3.23753 0.0645053
13735.1 3.23964 0.0630889
13740.1 3.24212 0.0616805
13745 3.24503 0.0602801
13750 3.24862 0.058888
13755 3.25335 0.0589576
13759.9 3.25683 0.0599111
13764.9 3.25983 0.0608733
13769.8 3.26253 0.0618441
13774.8 3.26497 0.0628239
13779.7 3.26715 0.0638126
13784.7 3.26896 0.0648105
13789.7 3.26991 0.0658176
13794.6 3.27078 0.0647592
13799.6 3.27269 0.0636731
13804.5 3.27503 0.0625967
13809.5 3.27773 0.0615302
13814.4 3.28075 0.0604737
13819.4 3.28416 0.0594275
13824.4 3.28812 0.0583916
13829.3 3.2935 0.0580993
13834.3 3.29789 0.0595417
13839.2 3.30159 0.0609949
13844.2 3.30494 0.0624593
13849.2 3.30801 0.0639348
13854.1 3.31084 0.0654219
13859.1 3.3134 0.0669206
13864 3.31559 0.0684311
13869 3.31712 0.0692896
13873.9 3.31922 0.0696631
13878.9 3.3215 0.070049
13883.9 3.32385 0.0704477
13888.8 3.32621 0.0708592
13893.8 3.32855 0.0712839
13898.7 3.33077 0.0717218
13903.7 3.33268 0.0721734
13908.6 3.33424 0.0715611
13913.6 3.33663 0.0706974
13918.6 3.33939 0.0698481
13923.5 3.34242 0.0690133
13928.5 3.3457 0.0681934
13933.4 3.34923 0.0673885
13938.4 3.35308 0.0665991
13943.3 3.35753 0.0658253
13948.3 3.36212 0.0662292
13953.3 3.36626 0.0666615
13958.2 3.3703 0.0671103
13963.2 3.3743 0.067576
13968.1 3.37829 0.0680589
13973.1 3.38231 0.0685592
13978 3.38637 0.0690774
13983 3.3906 0.0696548
13988 3.39476 0.0705175
13992.9 3.39881 0.0713991
13997.9 3.40283 0.0723
14002.8 3.40682 0.0732204
14007.8 3.41078 0.0741609
14012.7 3.41472 0.0751217
14017.7 3.41861 0.0761033
14022.7 3.42234 0.0770315
14027.6 3.4262 0.0777352
14032.6 3.43018 0.0784611
14037.5 3.43423 0.0792094
14042.5 3.43832 0.0799807
14047.5 3.44246 0.0807755
14052.4 3.44662 0.0815941
14057.4 3.45076 0.0824372
14062.3 3.45475 0.0831836
14067.3 3.45899 0.0836547
14072.2 3.46343 0.0841519
14077.2 3.46802 0.0846756
14082.2 3.47275 0.0852264
14087.1 3.47763 0.0858049
14092.1 3.48268 0.0864116
14097 3.48796 0.0870472
14102 3.4938 0.0879777
14106.9 3.49931 0.0895619
14111.9 3.50461 0.0911769
14116.9 3.50982 0.0928233
14121.8 3.51496 0.094502
14126.8 3.52003 0.0962136
14131.7 3.52501 0.0979588
14136.7 3.5298 0.0997385
14141.6 3.53395 0.101203
14146.6 3.53871 0.101729
14151.6 3.54399 0.102291
14156.5 3.54959 0.102891
14161.5 3.55549 0.103529
14166.4 3.56169 0.104207
14171.4 3.56824 0.104925
14176.3 3.57524 0.105685
14181.3 3.58335 0.106816
14186.3 3.59102 0.109453
14191.2 3.59824 0.112135
14196.2 3.6053 0.114862
14201.1 3.61232 0.117636
14206.1 3.61933 0.120458
14211 3.62639 0.123328
14216 3.63355 0.126249
14221 3.64101 0.129255
14225.9 3.64841 0.132868
14230.9 3.65562 0.136534
14235.8 3.66278 0.140256
14240.8 3.66994 0.144035
14245.8 3.67713 0.147872
14250.7 3.68436 0.151769
14255.7 3.6917 0.155727
14260.6 3.69927 0.159749
14265.6 3.70699 0.164409
14270.5 3.71438 0.169209
14275.5 3.72168 0.174077
14280.5 3.72891 0.179016
14285.4 3.73609 0.184026
14290.4 3.74323 0.189111
14295.3 3.7503 0.194271
14300.3 3.7572 0.199509
14305.2 3.76377 0.204199
14310.2 3.77099 0.208655
14315.2 3.77854 0.213197
14320.1 3.78638 0.217825
14325.1 3.79452 0.222543
14330 3.80299 0.227353
14335 3.81191 0.232257
14339.9 3.82152 0.237259
14344.9 3.83286 0.243571
14349.9 3.84279 0.2518
14354.8 3.852 0.260135
14359.8 3.86084 0.268579
14364.7 3.86943 0.277136
14369.7 3.87783 0.285809
14374.6 3.88607 0.2946
14379.6 3.89413 0.303515
14384.6 3.90176 0.312484
14389.5 3.9096 0.320826
14394.5 3.91781 0.329302
14399.4 3.92627 0.337916
14404.4 3.935 0.346672
14409.3 3.94407 0.355575
14414.3 3.9536 0.36463
14419.3 3.96387 0.37384
14424.2 3.97577 0.383211
14429.2 3.99001 0.397458
14434.1 4.00032 0.413667
14439.1 4.00901 0.430052
14444.1 4.01652 0.446618
14449 4.02297 0.463371
14454 4.02833 0.480317
14458.9 4.0324 0.497461
14463.9 4.03456 0.514811
14468.8 4.0318 0.529669
14473.8 4.03267 0.538857
14478.8 4.0359 0.54827
14483.7 4.04046 0.557914
14488.7 4.04605 0.567796
14493.6 4.05264 0.577923
14498.6 4.06033 0.588303
14503.5 4.06954 0.598944
14508.5 4.08201 0.609852
14513.5 4.097 0.629639
14518.4 4.10632 0.651158
14523.4 4.11349 0.672968
14528.3 4.11909 0.695079
14533.3 4.12332 0.717497
14538.2 4.12617 0.740233
14543.2 4.12749 0.763294
14548.2 4.12672 0.786688
14553.1 4.12127 0.807833
14558.1 4.11869 0.824477
14563 4.11761 0.841478
14568 4.11714 0.858846
14572.9 4.11696 0.876588
14577.9 4.11695 0.894711
14582.9 4.11707 0.913223
14587.8 4.11739 0.93213
14592.8 4.11847 0.951438
14597.7 4.12032 0.974375
14602.7 4.11919 0.998577
14607.6 4.11643 1.02319
14612.6 4.11218 1.04823
14617.6 4.10634 1.07368
14622.5 4.09866 1.09956
14627.5 4.08866 1.12585
14632.4 4.07522 1.15255
14637.4 4.05237 1.17668
14642.4 4.03423 1.18785
14647.3 4.02086 1.19942
14652.3 4.00955 1.21138
14657.2 3.9995 1.22369
14662.2 3.99036 1.23636
14667.1 3.98195 1.24935
14672.1 3.97428 1.26265
14677.1 3.96778 1.27622
14682 3.96385 1.29296
14687 3.95653 1.31255
14691.9 3.94741 1.33232
14696.9 3.93691 1.3522
14701.8 3.92512 1.37215
14706.8 3.912 1.39212
14711.8 3.89741 1.41204
14716.7 3.88104 1.43187
14721.7 3.86172 1.45152
14726.6 3.83949 1.46514
14731.6 3.82052 1.47714
14736.5 3.80228 1.48875
14741.5 3.78432 1.49989
14746.5 3.7665 1.51047
14751.4 3.74881 1.52043
14756.4 3.73133 1.52967
14761.3 3.71433 1.53812
14766.3 3.6991 1.5459
14771.2 3.68328 1.55636
14776.2 3.66604 1.5658
14781.2 3.6484 1.57415
14786.1 3.63074 1.58137
14791.1 3.61344 1.58738
14796 3.59696 1.59216
14801 3.58195 1.59567
14805.9 3.56982 1.59788
14810.9 3.56703 1.603
14815.9 3.5575 1.61994
14820.8 3.54266 1.63557
14825.8 3.52516 1.6499
14830.7 3.50589 1.66297
14835.7 3.48532 1.6748
14840.7 3.46372 1.68545
14845.6 3.44123 1.69496
14850.6 3.41777 1.70339
14855.5 3.39246 1.70967
14860.5 3.36852 1.71313
14865.4 3.3454 1.71572
14870.4 3.32281 1.71754
14875.4 3.30066 1.71866
14880.3 3.27891 1.71916
14885.3 3.25751 1.71913
14890.2 3.23637 1.71865
14895.2 3.21529 1.71779
14900.1 3.19359 1.71569
14905.1 3.17339 1.71226
14910.1 3.1541 1.70867
14915 3.13545 1.705
14920 3.11727 1.7013
14924.9 3.09943 1.69762
14929.9 3.08176 1.69403
14934.8 3.06403 1.69056
14939.8 3.04572 1.68725
14944.8 3.02547 1.682
14949.7 3.00779 1.67476
14954.7 2.99132 1.66778
14959.6 2.97552 1.66109
14964.6 2.96009 1.6547
14969.5 2.94479 1.64863
14974.5 2.92932 1.64289
14979.5 2.91327 1.63748
14984.4 2.89569 1.63242
14989.4 2.87367 1.62339
14994.3 2.85682 1.60978
14999.3 2.84258 1.59651
15004.2 2.82994 1.58356
15009.2 2.81853 1.57092
15014.2 2.80814 1.55858
15019.1 2.79868 1.54653
15024.1 2.79012 1.53474
15029 2.7826 1.5232
15034 2.77694 1.51291
15039 2.77039 1.50443
15043.9 2.76349 1.49614
15048.9 2.75648 1.48802
15053.8 2.74946 1.48004
15058.8 2.74243 1.47217
15063.7 2.73542 1.4644
15068.7 2.72839 1.45671
15073.7 2.72132 1.44905
15078.6 2.7139 1.44121
15083.6 2.70693 1.43274
15088.5 2.70038 1.42425
15093.5 2.69414 1.4157
15098.4 2.68823 1.40709
15103.4 2.6827 1.39837
15108.4 2.67761 1.38954
15113.3 2.67312 1.38057
15118.3 2.66954 1.37144
15123.2 2.66851 1.36246
15128.2 2.66681 1.35782
15133.1 2.66341 1.35297
15138.1 2.65941 1.3479
15143.1 2.65509 1.34259
15148 2.65064 1.33703
15153 2.64621 1.33121
15157.9 2.64194 1.32513
15162.9 2.63805 1.31877
15167.8 2.63512 1.31214
15172.8 2.63317 1.30781
15177.8 2.62953 1.30376
15182.7 2.62542 1.29942
15187.7 2.62108 1.2948
15192.6 2.61669 1.2899
15197.6 2.61236 1.28473
15202.5 2.60821 1.27928
15207.5 2.60443 1.27358
15212.5 2.60139 1.26761
15217.4 2.60002 1.26309
15222.4 2.59699 1.25987
15227.3 2.59329 1.25642
15232.3 2.58927 1.25276
15237.3 2.58509 1.2489
15242.2 2.58083 1.24486
15247.2 2.57659 1.24064
15252.1 2.57243 1.23627
15257.1 2.5685 1.23176
15262 2.56538 1.22738
15267 2.56175 1.22422
15272 2.55755 1.22097
15276.9 2.55306 1.21764
15281.9 2.54834 1.21424
15286.8 2.5434 1.21079
15291.8 2.53822 1.2073
15296.7 2.53273 1.2038
15301.7 2.52679 1.20028
15306.7 2.51992 1.19678
15311.6 2.51184 1.1908
15316.6 2.50563 1.18404
15321.5 2.50008 1.17732
15326.5 2.49492 1.17066
15331.4 2.49001 1.16407
15336.4 2.48524 1.15756
15341.4 2.48051 1.15115
15346.3 2.47568 1.14483
15351.3 2.47043 1.13863
15356.2 2.46345 1.13153
15361.2 2.45819 1.12198
15366.1 2.4542 1.11256
15371.1 2.45097 1.10329
15376.1 2.44834 1.09416
15381 2.44621 1.0852
15386 2.44453 1.07639
15390.9 2.44329 1.06775
15395.9 2.4425 1.05928
15400.8 2.4423 1.05099
15405.8 2.44276 1.04382
15410.8 2.44268 1.03714
15415.7 2.44248 1.03065
15420.7 2.44222 1.02434
15425.6 2.44189 1.01823
15430.6 2.44145 1.01232
15435.6 2.44083 1.0066
15440.5 2.43992 1.00108
15445.5 2.43842 0.995759
15450.4 2.43483 0.989964
15455.4 2.43263 0.980872
15460.3 2.43198 0.971981
15465.3 2.43217 0.963292
15470.3 2.433 0.954805
15475.2 2.43438 0.94652
15480.2 2.43629 0.938437
15485.1 2.43875 0.930556
15490.1 2.44186 0.922876
15495 2.44596 0.915396
15500 2.4521 0.910038
15505 2.45629 0.906704
15509.9 2.45964 0.903567
15514.9 2.46246 0.900627
15519.8 2.46485 0.897882
15524.8 2.46682 0.895331
15529.7 2.46834 0.892972
15534.7 2.4693 0.890803
15539.7 2.46945 0.888824
15544.6 2.46793 0.887032
15549.6 2.46467 0.881051
15554.5 2.46447 0.874193
15559.5 2.46535 0.867516
15564.4 2.46694 0.861018
15569.4 2.4691 0.854696
