W N1 N2
12878.2 -0.000192185 0.000207966
12883.2 -0.000192975 0.000207949
12888.2 -0.000193786 0.000207953
12893.3 -0.000194619 0.000207975
12898.3 -0.000195475 0.000208018
12903.4 -0.000196402 0.000208078
12908.4 -0.000197347 0.000208079
12913.5 -0.000198289 0.000208069
12918.5 -0.000199233 0.000208057
12923.6 -0.000200184 0.000208045
12928.6 -0.000201145 0.000208038
12933.7 -0.000202129 0.000208049
12938.7 -0.000203197 0.00020802
12943.8 -0.000204241 0.000207931
12948.8 -0.000205271 0.000207821
12953.9 -0.000206292 0.000207694
12958.9 -0.000207304 0.000207551
12964 -0.000208306 0.00020739
12969 -0.000209275 0.000207205
12974 -0.000210221 0.000207055
12979.1 -0.000211175 0.000206908
12984.1 -0.000212131 0.000206756
12989.2 -0.000213084 0.000206596
12994.2 -0.000214029 0.000206422
12999.3 -0.000214953 0.000206221
13004.3 -0.000215752 0.000206023
13009.4 -0.000216568 0.000205964
13014.4 -0.000217426 0.000205943
13019.5 -0.000218317 0.000205949
13024.5 -0.000219241 0.000205981
13029.6 -0.000220203 0.000206045
13034.6 -0.000221231 0.000206167
13039.7 -0.000222468 0.000206206
13044.7 -0.000223649 0.000206111
13049.7 -0.000224802 0.000205981
13054.8 -0.000225939 0.000205827
13059.8 -0.000227064 0.000205654
13064.9 -0.000228176 0.000205462
13069.9 -0.000229263 0.000205243
13075 -0.000230318 0.000205055
13080 -0.000231386 0.000204872
13085.1 -0.000232458 0.000204687
13090.1 -0.000233532 0.000204496
13095.2 -0.000234608 0.0002043
13100.2 -0.000235684 0.000204097
13105.3 -0.000236754 0.000203886
13110.3 -0.000237823 0.000203677
13115.4 -0.000238894 0.000203463
13120.4 -0.000239964 0.000203241
13125.5 -0.000241031 0.00020301
13130.5 -0.00024209 0.000202766
13135.5 -0.00024313 0.000202498
13140.6 -0.000244066 0.000202232
13145.6 -0.000245018 0.000202086
13150.7 -0.000246009 0.000201969
13155.7 -0.00024703 0.000201869
13160.8 -0.000248078 0.000201787
13165.8 -0.000249156 0.000201723
13170.9 -0.000250277 0.000201688
13175.9 -0.000251526 0.000201631
13181 -0.000252761 0.000201475
13186 -0.000253982 0.000201299
13191.1 -0.000255199 0.000201112
13196.1 -0.000256419 0.000200919
13201.2 -0.000257646 0.000200723
13206.2 -0.000258892 0.000200535
13211.2 -0.000260214 0.000200302
13216.3 -0.000261504 0.000199999
13221.3 -0.000262772 0.000199669
13226.4 -0.000264021 0.000199315
13231.4 -0.000265251 0.000198938
13236.5 -0.000266452 0.000198532
13241.5 -0.000267598 0.000198075
13246.6 -0.000268568 0.000197716
13251.6 -0.000269619 0.000197472
13256.7 -0.000270712 0.000197253
13261.7 -0.000271836 0.000197051
13266.8 -0.000272988 0.000196862
13271.8 -0.000274171 0.000196688
