W T
13196.1 -0.000100415
13201.2 -9.97181e-05
13206.2 -9.90375e-05
13211.2 -9.83029e-05
13216.3 -9.74317e-05
13221.3 -9.65046e-05
13226.4 -9.5529e-05
13231.4 -9.45032e-05
13236.5 -9.34169e-05
13241.5 -9.22259e-05
13246.6 -9.11711e-05
13251.6 -9.03392e-05
13256.7 -8.95631e-05
13261.7 -8.88237e-05
13266.8 -8.81152e-05
13271.8 -8.74393e-05
13276.9 -8.68162e-05
13281.9 -8.61077e-05
13287 -8.53018e-05
13292 -8.44718e-05
13297 -8.36268e-05
13302.1 -8.27712e-05
13307.1 -8.19088e-05
13312.2 -8.10475e-05
13317.2 -8.01406e-05
13322.3 -7.91892e-05
13327.3 -7.82166e-05
13332.4 -7.72251e-05
13337.4 -7.62146e-05
13342.5 -7.51827e-05
13347.5 -7.41192e-05
13352.6 -7.31074e-05
13357.6 -7.21465e-05
13362.7 -7.11917e-05
13367.7 -7.02386e-05
13372.7 -6.92851e-05
13377.8 -6.83308e-05
13382.8 -6.73766e-05
13387.9 -6.64077e-05
13392.9 -6.54217e-05
13398 -6.44285e-05
13403 -6.34292e-05
13408.1 -6.24246e-05
13413.1 -6.14159e-05
13418.2 -6.04068e-05
13423.2 -5.93628e-05
13428.3 -5.82652e-05
13433.3 -5.71488e-05
13438.4 -5.60156e-05
13443.4 -5.48654e-05
13448.4 -5.36955e-05
13453.5 -5.24977e-05
13458.5 -5.13506e-05
13463.6 -5.03679e-05
13468.6 -4.94082e-05
13473.7 -4.84624e-05
13478.7 -4.75287e-05
13483.8 -4.66088e-05
13488.8 -4.57113e-05
13493.9 -4.4781e-05
13498.9 -4.35402e-05
13504 -4.22492e-05
13509 -4.0926e-05
13514.1 -3.95766e-05
13519.1 -3.82037e-05
13524.2 -3.68085e-05
13529.2 -3.53916e-05
13534.2 -3.39766e-05
13539.3 -3.25456e-05
13544.3 -3.1097e-05
13549.4 -2.96301e-05
13554.4 -2.81435e-05
13559.5 -2.66343e-05
13564.5 -2.50922e-05
13569.6 -2.37556e-05
13574.6 -2.25116e-05
13579.7 -2.12749e-05
13584.7 -2.00404e-05
13589.8 -1.88062e-05
13594.8 -1.75719e-05
13599.9 -1.63402e-05
13604.9 -1.50179e-05
13609.9 -1.35603e-05
13615 -1.2082e-05
13620 -1.05867e-05
13625.1 -9.07593e-06
13630.1 -7.54991e-06
13635.2 -6.00835e-06
13640.2 -4.46208e-06
13645.3 -2.98994e-06
13650.3 -1.51092e-06
13655.4 -2.24532e-08
13660.4 1.47632e-06
13665.5 2.98598e-06
13670.5 4.50706e-06
13675.6 6.04061e-06
13680.6 7.53016e-06
13685.7 9.0095e-06
13690.7 1.04981e-05
13695.7 1.19968e-05
13700.8 1.3506e-05
13705.8 1.50258e-05
13710.9 1.65558e-05
13715.9 1.82225e-05
13721 2.01615e-05
13726 2.21247e-05
13731.1 2.41091e-05
13736.1 2.61134e-05
13741.2 2.81366e-05
13746.2 3.01775e-05
13751.3 3.22335e-05
13756.3 3.39573e-05
13761.4 3.56487e-05
13766.4 3.73541e-05
13771.4 3.9074e-05
13776.5 4.08094e-05
13781.5 4.25616e-05
13786.6 4.43331e-05
13791.6 4.62716e-05
13796.7 4.84531e-05
13801.7 5.06494e-05
13806.8 5.28617e-05
13811.8 5.50896e-05
13816.9 5.73318e-05
13821.9 5.95854e-05
13827 6.18412e-05
13832 6.37184e-05
13837.1 6.55557e-05
13842.1 6.74169e-05
13847.2 6.93002e-05
13852.2 7.12056e-05
13857.2 7.31344e-05
13862.3 7.50893e-05
13867.3 7.71367e-05
13872.4 7.93669e-05
13877.4 8.16114e-05
13882.5 8.38753e-05
13887.5 8.61608e-05
13892.6 8.84699e-05
13897.6 9.08055e-05
13902.7 9.31743e-05
13907.7 9.5755e-05
13912.8 9.84402e-05
13917.8 0.000101138
13922.9 0.000103852
13927.9 0.000106582
13932.9 0.000109328
13938 0.000112087
13943 0.000114844
13948.1 0.000117377
13953.1 0.000119941
13958.2 0.000122535
13963.2 0.000125156
13968.3 0.000127803
13973.3 0.000130475
13978.4 0.00013317
13983.4 0.000135867
13988.5 0.000138543
13993.5 0.000141251
13998.6 0.00014399
14003.6 0.00014676
14008.7 0.00014956
14013.7 0.000152393
14018.7 0.000155261
14023.8 0.000158205
14028.8 0.000161211
14033.9 0.000164242
14038.9 0.000167302
14044 0.000170393
14049 0.000173516
14054.1 0.000176674
14059.1 0.000179871
14064.2 0.000183183
14069.2 0.000186541
14074.3 0.000189923
14079.3 0.00019333
14084.4 0.000196764
14089.4 0.000200222
14094.4 0.000203701
14099.5 0.000207188
14104.5 0.000210499
14109.6 0.000213851
14114.6 0.000217258
14119.7 0.000220716
14124.7 0.000224224
14129.8 0.000227787
14134.8 0.000231412
14139.9 0.00023513
14144.9 0.000239231
14150 0.000243323
14155 0.000247423
14160.1 0.000251538
14165.1 0.000255667
14170.2 0.000259806
14175.2 0.000263943
14180.2 0.000268018
14185.3 0.000271636
14190.3 0.000275389
14195.4 0.000279219
14200.4 0.000283112
14205.5 0.000287061
14210.5 0.000291062
14215.6 0.000295107
14220.6 0.000299173
14225.7 0.000303133
14230.7 0.000307187
14235.8 0.000311311
14240.8 0.000315501
14245.9 0.000319754
14250.9 0.000324065
14255.9 0.000328429
14261 0.000332821
14266 0.000337099
14271.1 0.000341492
14276.1 0.000345976
14281.2 0.000350546
14286.2 0.000355203
14291.3 0.000359948
14296.3 0.00036479
14301.4 0.000369759
14306.4 0.00037507
14311.5 0.000380391
14316.5 0.000385743
14321.6 0.000391133
14326.6 0.000396557
14331.7 0.000402003
14336.7 0.000407446
14341.7 0.000412799
14346.8 0.000417367
14351.8 0.000422136
14356.9 0.000427101
14361.9 0.000432223
14367 0.000437485
14372 0.000442881
14377.1 0.000448408
14382.1 0.000454081
14387.2 0.00046007
14392.2 0.000466153
14397.3 0.000472283
14402.3 0.000478461
14407.4 0.000484678
14412.4 0.00049091
14417.4 0.000497113
14422.5 0.000503175
14427.5 0.000507936
14432.6 0.00051235
14437.6 0.000517256
14442.7 0.000522505
14447.7 0.000528054
14452.8 0.000533894
14457.8 0.000540046
14462.9 0.000546598
14467.9 0.000554432
14473 0.000564044
14478 0.000573125
14483.1 0.00058196
14488.1 0.000590603
14493.2 0.000599054
14498.2 0.000607277
14503.2 0.000615175
14508.3 0.000622415
14513.3 0.000626643
14518.4 0.000631449
14523.4 0.000636609
14528.5 0.000641972
14533.5 0.000647471
14538.6 0.000653074
14543.6 0.000658783
14548.7 0.000664681
14553.7 0.000672137
14558.8 0.000679869
14563.8 0.000687057
14568.9 0.000693812
14573.9 0.000700152
14578.9 0.000706067
14584 0.000711528
14589 0.000716482
14594.1 0.000720625
14599.1 0.000723327
14604.2 0.00072587
14609.2 0.000728082
14614.3 0.000729918
14619.3 0.000731362
14624.4 0.000732426
14629.4 0.000733172
14634.5 0.000733835
14639.5 0.000737771
14644.6 0.000741574
14649.6 0.000744123
14654.7 0.000745618
14659.7 0.000746139
14664.7 0.000745725
14669.8 0.000744396
14674.8 0.000742144
14679.9 0.000738604
14684.9 0.000733092
14690 0.000727204
14695 0.000720825
14700.1 0.00071396
14705.1 0.000706636
14710.2 0.0006989
