W N1
10000 -2.5492e-05
10007.7 -2.57166e-05
10015.3 -2.59422e-05
10023 -2.61687e-05
10030.6 -2.63961e-05
10038.3 -2.66245e-05
10045.9 -2.68539e-05
10053.6 -2.70841e-05
10061.2 -2.73154e-05
10068.9 -2.75475e-05
10076.5 -2.77807e-05
10084.2 -2.80147e-05
10091.8 -2.82498e-05
10099.5 -2.84858e-05
10107.1 -2.87228e-05
10114.8 -2.89607e-05
10122.4 -2.91996e-05
10130.1 -2.94395e-05
10137.7 -2.96803e-05
10145.4 -2.99221e-05
10153 -3.01649e-05
10160.7 -3.04087e-05
10168.3 -3.06535e-05
10176 -3.08992e-05
10183.6 -3.11459e-05
10191.3 -3.13936e-05
10198.9 -3.16424e-05
10206.6 -3.18921e-05
10214.2 -3.21428e-05
10221.9 -3.23945e-05
10229.5 -3.26472e-05
10237.2 -3.29009e-05
10244.8 -3.31556e-05
10252.5 -3.34113e-05
10260.1 -3.3668e-05
10267.8 -3.39257e-05
10275.4 -3.41845e-05
10283.1 -3.44442e-05
10290.7 -3.4705e-05
10298.4 -3.49668e-05
10306 -3.52296e-05
10313.7 -3.54934e-05
10321.3 -3.57582e-05
10329 -3.60241e-05
10336.6 -3.6291e-05
10344.3 -3.65589e-05
10351.9 -3.68278e-05
10359.6 -3.70978e-05
10367.2 -3.73688e-05
10374.9 -3.76408e-05
10382.5 -3.79138e-05
10390.2 -3.81879e-05
10397.8 -3.8463e-05
10405.5 -3.87392e-05
10413.1 -3.90164e-05
10420.8 -3.92946e-05
10428.4 -3.95738e-05
10436.1 -3.98541e-05
10443.7 -4.01354e-05
10451.4 -4.04178e-05
10459 -4.07012e-05
10466.7 -4.09856e-05
10474.3 -4.12711e-05
10482 -4.15576e-05
10489.6 -4.18452e-05
10497.3 -4.21337e-05
10504.9 -4.24234e-05
10512.6 -4.2714e-05
10520.2 -4.30057e-05
10527.9 -4.32984e-05
10535.5 -4.35922e-05
10543.2 -4.3887e-05
10550.8 -4.41828e-05
10558.5 -4.44797e-05
10566.1 -4.47776e-05
10573.8 -4.50765e-05
10581.4 -4.53764e-05
10589.1 -4.56774e-05
10596.7 -4.59794e-05
10604.4 -4.62824e-05
10612 -4.65865e-05
10619.7 -4.68915e-05
10627.3 -4.71976e-05
10635 -4.75047e-05
10642.6 -4.78128e-05
10650.3 -4.81219e-05
10657.9 -4.84321e-05
10665.6 -4.87432e-05
10673.2 -4.90553e-05
10680.9 -4.93685e-05
10688.5 -4.96826e-05
10696.2 -4.99977e-05
10703.8 -5.03138e-05
10711.5 -5.06309e-05
10719.1 -5.0949e-05
10726.8 -5.1268e-05
10734.4 -5.1588e-05
10742.1 -5.1909e-05
10749.7 -5.22309e-05
10757.4 -5.25538e-05
10765 -5.28776e-05
10772.7 -5.32024e-05
10780.3 -5.35281e-05
10788 -5.38548e-05
10795.6 -5.41823e-05
10803.3 -5.45108e-05
10810.9 -5.48402e-05
10818.6 -5.51705e-05
10826.2 -5.55017e-05
10833.9 -5.58338e-05
10841.5 -5.61667e-05
10849.2 -5.65005e-05
10856.8 -5.68352e-05
10864.5 -5.71707e-05
10872.1 -5.7507e-05
10879.8 -5.78442e-05
10887.4 -5.81821e-05
10895.1 -5.85209e-05
10902.7 -5.88604e-05
10910.4 -5.92007e-05
10918 -5.95417e-05
10925.7 -5.98835e-05
10933.3 -6.0226e-05
10941 -6.05692e-05
10948.6 -6.0913e-05
10956.3 -6.12575e-05
10963.9 -6.16026e-05
10971.6 -6.19483e-05
10979.2 -6.22945e-05
10986.9 -6.26412e-05
10994.5 -6.29884e-05
11002.2 -6.33361e-05
11009.8 -6.3684e-05
11017.5 -6.40323e-05
11025.1 -6.43809e-05
11032.8 -6.47295e-05
11040.4 -6.50782e-05
11048.1 -6.54267e-05
11055.7 -6.5775e-05
11063.4 -6.61227e-05
11071 -6.64696e-05
11078.7 -6.68152e-05
11086.3 -6.71589e-05
11094 -6.74999e-05
11101.6 -6.78363e-05
11109.3 -6.81653e-05
11116.9 -6.84791e-05
11124.6 -6.86316e-05
11132.2 -6.80427e-05
11139.9 -6.75179e-05
11147.5 -6.70497e-05
11155.2 -6.74481e-05
11162.8 -6.79101e-05
11170.5 -6.83616e-05
11178.1 -6.89164e-05
11185.8 -6.95141e-05
11193.4 -7.00971e-05
11201.1 -7.0534e-05
11208.7 -7.07757e-05
11216.4 -7.10299e-05
11224 -7.1314e-05
11231.7 -7.17742e-05
11239.3 -7.22243e-05
11247 -7.26657e-05
11254.6 -7.29412e-05
11262.3 -7.31902e-05
11269.9 -7.34537e-05
11277.6 -7.39621e-05
11285.2 -7.46822e-05
11292.9 -7.53793e-05
11300.5 -7.59731e-05
11308.2 -7.61895e-05
11315.8 -7.64226e-05
11323.5 -7.6657e-05
11331.1 -7.67241e-05
11338.8 -7.67741e-05
11346.4 -7.6844e-05
11354.1 -7.71752e-05
11361.7 -7.77598e-05
11369.4 -7.83328e-05
11377 -7.89217e-05
11384.7 -7.96752e-05
11392.3 -8.04057e-05
11400 -8.11047e-05
11407.7 -8.12613e-05
11415.3 -8.12461e-05
11423 -8.1257e-05
11430.6 -8.13924e-05
11438.3 -8.17522e-05
11445.9 -8.2103e-05
11453.6 -8.24467e-05
11461.2 -8.26331e-05
11468.9 -8.28153e-05
11476.5 -8.30205e-05
11484.2 -8.37021e-05
11491.8 -8.48721e-05
11499.5 -8.59874e-05
11507.1 -8.70059e-05
11514.8 -8.66085e-05
11522.4 -8.62797e-05
11530.1 -8.59993e-05
11537.7 -8.61657e-05
