W N1
10000 3.93503e-05
10007.7 3.93206e-05
10015.3 3.92908e-05
10023 3.9261e-05
10030.6 3.92311e-05
10038.3 3.92013e-05
10045.9 3.91714e-05
10053.6 3.91415e-05
10061.2 3.91116e-05
10068.9 3.90816e-05
10076.5 3.90517e-05
10084.2 3.90217e-05
10091.8 3.89917e-05
10099.5 3.89618e-05
10107.1 3.89318e-05
10114.8 3.89018e-05
10122.4 3.88718e-05
10130.1 3.88418e-05
10137.7 3.88118e-05
10145.4 3.87819e-05
10153 3.87519e-05
10160.7 3.8722e-05
10168.3 3.86921e-05
10176 3.86622e-05
10183.6 3.86323e-05
10191.3 3.86025e-05
10198.9 3.85727e-05
10206.6 3.85429e-05
10214.2 3.85131e-05
10221.9 3.84835e-05
10229.5 3.84538e-05
10237.2 3.84242e-05
10244.8 3.83946e-05
10252.5 3.83652e-05
10260.1 3.83357e-05
10267.8 3.83063e-05
10275.4 3.8277e-05
10283.1 3.82478e-05
10290.7 3.82186e-05
10298.4 3.81895e-05
10306 3.81605e-05
10313.7 3.81316e-05
10321.3 3.81028e-05
10329 3.8074e-05
10336.6 3.80454e-05
10344.3 3.80168e-05
10351.9 3.79884e-05
10359.6 3.79601e-05
10367.2 3.79318e-05
10374.9 3.79037e-05
10382.5 3.78757e-05
10390.2 3.78479e-05
10397.8 3.78202e-05
10405.5 3.77926e-05
10413.1 3.77651e-05
10420.8 3.77378e-05
10428.4 3.77106e-05
10436.1 3.76836e-05
10443.7 3.76568e-05
10451.4 3.76301e-05
10459 3.76035e-05
10466.7 3.75772e-05
10474.3 3.7551e-05
10482 3.7525e-05
10489.6 3.74992e-05
10497.3 3.74735e-05
10504.9 3.74481e-05
10512.6 3.74229e-05
10520.2 3.73978e-05
10527.9 3.7373e-05
10535.5 3.73484e-05
10543.2 3.7324e-05
10550.8 3.72998e-05
10558.5 3.72758e-05
10566.1 3.72521e-05
10573.8 3.72286e-05
10581.4 3.72054e-05
10589.1 3.71824e-05
10596.7 3.71596e-05
10604.4 3.71372e-05
10612 3.71149e-05
10619.7 3.7093e-05
10627.3 3.70713e-05
10635 3.70498e-05
10642.6 3.70287e-05
10650.3 3.70078e-05
10657.9 3.69873e-05
10665.6 3.6967e-05
10673.2 3.6947e-05
10680.9 3.69273e-05
10688.5 3.69079e-05
10696.2 3.68889e-05
10703.8 3.68701e-05
10711.5 3.68517e-05
10719.1 3.68336e-05
10726.8 3.68158e-05
10734.4 3.67983e-05
10742.1 3.67812e-05
10749.7 3.67644e-05
10757.4 3.67479e-05
10765 3.67318e-05
10772.7 3.6716e-05
10780.3 3.67006e-05
10788 3.66855e-05
10795.6 3.66708e-05
10803.3 3.66564e-05
10810.9 3.66424e-05
10818.6 3.66287e-05
10826.2 3.66154e-05
10833.9 3.66025e-05
10841.5 3.65899e-05
10849.2 3.65776e-05
10856.8 3.65657e-05
10864.5 3.65542e-05
10872.1 3.6543e-05
10879.8 3.65321e-05
10887.4 3.65216e-05
10895.1 3.65115e-05
10902.7 3.65016e-05
10910.4 3.64921e-05
10918 3.6483e-05
10925.7 3.64741e-05
10933.3 3.64655e-05
10941 3.64573e-05
10948.6 3.64493e-05
10956.3 3.64416e-05
10963.9 3.64341e-05
10971.6 3.64269e-05
10979.2 3.64199e-05
10986.9 3.64131e-05
10994.5 3.64065e-05
11002.2 3.63999e-05
11009.8 3.63935e-05
11017.5 3.63871e-05
11025.1 3.63808e-05
11032.8 3.63743e-05
11040.4 3.63677e-05
11048.1 3.63609e-05
11055.7 3.63537e-05
11063.4 3.6346e-05
11071 3.63375e-05
11078.7 3.6328e-05
11086.3 3.63171e-05
11094 3.63041e-05
11101.6 3.62879e-05
11109.3 3.62663e-05
11116.9 3.62344e-05
11124.6 3.62746e-05
11132.2 3.72479e-05
11139.9 3.82785e-05
11147.5 3.93778e-05
11155.2 3.95864e-05
11162.8 3.96037e-05
11170.5 3.96092e-05
11178.1 3.9496e-05
11185.8 3.92881e-05
11193.4 3.90626e-05
11201.1 3.89436e-05
11208.7 3.90878e-05
11216.4 3.92442e-05
11224 3.94003e-05
11231.7 3.93472e-05
11239.3 3.92831e-05
11247 3.92095e-05
11254.6 3.93089e-05
11262.3 3.94787e-05
11269.9 3.96627e-05
11277.6 3.96296e-05
11285.2 3.92741e-05
11292.9 3.88923e-05
11300.5 3.85442e-05
11308.2 3.86554e-05
11315.8 3.878e-05
11323.5 3.8906e-05
11331.1 3.92252e-05
11338.8 3.9619e-05
11346.4 4.00348e-05
11354.1 4.02335e-05
11361.7 4.00708e-05
11369.4 3.98919e-05
11377 3.96948e-05
11384.7 3.92698e-05
11392.3 3.88178e-05
11400 3.83354e-05
11407.7 3.83954e-05
11415.3 3.8776e-05
11423 3.91788e-05
11430.6 3.95061e-05
11438.3 3.95435e-05
11445.9 3.95711e-05
11453.6 3.95904e-05
11461.2 3.97888e-05
11468.9 4.00362e-05
11476.5 4.03044e-05
11484.2 4.01397e-05
11491.8 3.92262e-05
11499.5 3.82503e-05
11507.1 3.71955e-05
11514.8 3.7787e-05
11522.4 3.84961e-05
11530.1 3.92474e-05
11537.7 3.96064e-05
11545.4 3.94839e-05
11553 3.9343e-05
11560.7 3.91908e-05
11568.3 3.8817e-05
11576 3.84191e-05
11583.6 3.80013e-05
11591.3 3.76079e-05
11598.9 3.7242e-05
11606.6 3.68577e-05
11614.2 3.64482e-05
11621.9 3.6709e-05
11629.5 3.69931e-05
11637.2 3.72917e-05
11644.8 3.73619e-05
11652.5 3.71316e-05
11660.1 3.68854e-05
11667.8 3.66384e-05
11675.4 3.57194e-05
11683.1 3.46904e-05
11690.7 3.36107e-05
11698.4 3.28923e-05
11706 3.29222e-05
11713.7 3.2958e-05
11721.3 3.29908e-05
11729 3.30092e-05
11736.6 3.30181e-05
11744.3 3.3022e-05
