W N1
10000 0.000279185
10007.7 0.000279636
10015.3 0.000280083
10023 0.000280524
10030.6 0.000280961
10038.3 0.000281393
10045.9 0.00028182
10053.6 0.000282242
10061.2 0.000282658
10068.9 0.000283068
10076.5 0.000283473
10084.2 0.000283872
10091.8 0.000284265
10099.5 0.000284651
10107.1 0.000285032
10114.8 0.000285406
10122.4 0.000285773
10130.1 0.000286134
10137.7 0.000286487
10145.4 0.000286834
10153 0.000287173
10160.7 0.000287504
10168.3 0.000287828
10176 0.000288144
10183.6 0.000288452
10191.3 0.000288752
10198.9 0.000289043
10206.6 0.000289326
10214.2 0.0002896
10221.9 0.000289865
10229.5 0.00029012
10237.2 0.000290366
10244.8 0.000290603
10252.5 0.000290829
10260.1 0.000291046
10267.8 0.000291252
10275.4 0.000291447
10283.1 0.000291632
10290.7 0.000291805
10298.4 0.000291968
10306 0.000292118
10313.7 0.000292257
10321.3 0.000292384
10329 0.000292499
10336.6 0.000292601
10344.3 0.00029269
10351.9 0.000292766
10359.6 0.000292829
10367.2 0.000292878
10374.9 0.000292913
10382.5 0.000292933
10390.2 0.000292939
10397.8 0.000292931
10405.5 0.000292907
10413.1 0.000292867
10420.8 0.000292812
10428.4 0.00029274
10436.1 0.000292653
10443.7 0.000292548
10451.4 0.000292426
10459 0.000292287
10466.7 0.00029213
10474.3 0.000291954
10482 0.00029176
10489.6 0.000291547
10497.3 0.000291315
10504.9 0.000291063
10512.6 0.000290792
10520.2 0.000290499
10527.9 0.000290186
10535.5 0.000289851
10543.2 0.000289495
10550.8 0.000289117
10558.5 0.000288716
10566.1 0.000288293
10573.8 0.000287846
10581.4 0.000287375
10589.1 0.00028688
10596.7 0.00028636
10604.4 0.000285815
10612 0.000285244
10619.7 0.000284647
10627.3 0.000284024
10635 0.000283373
10642.6 0.000282695
10650.3 0.000281989
10657.9 0.000281254
10665.6 0.00028049
10673.2 0.000279697
10680.9 0.000278873
10688.5 0.000278019
10696.2 0.000277133
10703.8 0.000276215
10711.5 0.000275266
10719.1 0.000274283
10726.8 0.000273267
10734.4 0.000272216
10742.1 0.000271132
10749.7 0.000270011
10757.4 0.000268855
10765 0.000267663
10772.7 0.000266433
10780.3 0.000265166
10788 0.00026386
10795.6 0.000262516
10803.3 0.000261132
10810.9 0.000259707
10818.6 0.000258242
10826.2 0.000256735
10833.9 0.000255186
10841.5 0.000253594
10849.2 0.000251958
10856.8 0.000250278
10864.5 0.000248553
10872.1 0.000246783
10879.8 0.000244965
10887.4 0.000243101
10895.1 0.000241189
10902.7 0.000239228
10910.4 0.000237218
10918 0.000235158
10925.7 0.000233047
10933.3 0.000230884
10941 0.000228669
10948.6 0.000226401
10956.3 0.000224078
10963.9 0.000221701
10971.6 0.000219269
10979.2 0.00021678
10986.9 0.000214234
10994.5 0.000211629
11002.2 0.000208966
11009.8 0.000206243
11017.5 0.00020346
11025.1 0.000200614
11032.8 0.000197706
11040.4 0.000194735
11048.1 0.000191699
11055.7 0.000188597
11063.4 0.000185427
11071 0.00018219
11078.7 0.000178881
11086.3 0.000175501
11094 0.000172044
11101.6 0.000168507
11109.3 0.00016488
11116.9 0.000161145
11124.6 0.000157439
11132.2 0.000155896
11139.9 0.000154501
11147.5 0.000153268
11155.2 0.00014993
11162.8 0.000145999
11170.5 0.000141946
11178.1 0.000137531
11185.8 0.000132795
11193.4 0.000127924
11201.1 0.000123206
11208.7 0.00011904
11216.4 0.000114829
11224 0.000110543
11231.7 0.000105678
11239.3 0.0001007
11247 9.56168e-05
11254.6 9.08594e-05
11262.3 8.61852e-05
11269.9 8.1457e-05
11277.6 7.61178e-05
11285.2 6.99345e-05
11292.9 6.36118e-05
11300.5 5.73067e-05
11308.2 5.20067e-05
11315.8 4.66474e-05
11323.5 4.12082e-05
11331.1 3.61454e-05
11338.8 3.11501e-05
11346.4 2.60952e-05
11354.1 2.03813e-05
11361.7 1.37485e-05
11369.4 7.00096e-06
11377 1.1625e-07
11384.7 -7.37723e-06
11392.3 -1.49824e-05
11400 -2.2689e-05
11407.7 -2.9104e-05
11415.3 -3.49427e-05
11423 -4.0864e-05
11430.6 -4.71266e-05
11438.3 -5.41434e-05
11445.9 -6.12533e-05
11453.6 -6.84547e-05
11461.2 -7.53144e-05
11468.9 -8.22049e-05
11476.5 -8.92047e-05
11484.2 -9.75053e-05
11491.8 -0.000107437
11499.5 -0.000117422
11507.1 -0.000127375
11514.8 -0.000133471
11522.4 -0.000139678
11530.1 -0.000146036
11537.7 -0.000153647
11545.4 -0.000162323
11553 -0.000171079
11560.7 -0.000179952
11568.3 -0.000189385
11576 -0.000198885
11583.6 -0.000208454
11591.3 -0.000217979
11598.9 -0.000227487
11606.6 -0.000237054
11614.2 -0.000246587
11621.9 -0.000254683
11629.5 -0.000262971
11637.2 -0.000271417
11644.8 -0.000280647
11652.5 -0.000290513
11660.1 -0.000300457
11667.8 -0.000310554
11675.4 -0.000322202
11683.1 -0.000333835
11690.7 -0.000345385
11698.4 -0.000355709
11706 -0.000364716
11713.7 -0.000373914
11721.3 -0.000383247
11729 -0.000392722
11736.6 -0.000402318
11744.3 -0.00041205
11751.9 -0.00042225
11759.6 -0.000433385
11767.2 -0.00044452
11774.9 -0.000455718
11782.5 -0.000467572
11790.2 -0.00047966
11797.8 -0.000491629
11805.5 -0.000503303
11813.1 -0.000512224
11820.8 -0.00052151
11828.4 -0.000531087
11836.1 -0.000541738
11843.7 -0.000553631
11851.4 -0.000565458
11859 -0.000577318
11866.7 -0.000589818
11874.3 -0.000602421
11882 -0.000614876
11889.6 -0.000627039
11897.3 -0.000637316
11904.9 -0.000647861
11912.6 -0.000658552
11920.2 -0.000669429
11927.9 -0.000680506
11935.5 -0.000691662
11943.2 -0.000702951
11950.8 -0.000715094
11958.5 -0.000727525
11966.1 -0.000739868
11973.8 -0.000752183
11981.4 -0.000764829
11989.1 -0.00077733
11996.7 -0.000789596
12004.4 -0.000801128
12012 -0.000810388
12019.7 -0.000820198
12027.3 -0.000830349
12035 -0.000841536
12042.6 -0.000853693
12050.3 -0.0008657
12057.9 -0.000877703
12065.6 -0.00089033
12073.2 -0.00090307
12080.9 -0.000915535
12088.5 -0.000927654
12096.2 -0.000938211
12103.8 -0.00094871
12111.5 -0.000959366
12119.1 -0.000970142
12126.8 -0.000981218
12134.4 -0.000992309
12142.1 -0.00100346
12149.7 -0.00101486
12157.4 -0.00102732
12165 -0.00103936
