W N2
10000 0.000304302
10007.7 0.000305611
10015.3 0.000306928
10023 0.000308254
10030.6 0.000309589
10038.3 0.000310932
10045.9 0.000312285
10053.6 0.000313647
10061.2 0.000315018
10068.9 0.000316398
10076.5 0.000317788
10084.2 0.000319187
10091.8 0.000320595
10099.5 0.000322013
10107.1 0.000323441
10114.8 0.000324879
10122.4 0.000326326
10130.1 0.000327784
10137.7 0.000329251
10145.4 0.000330729
10153 0.000332217
10160.7 0.000333715
10168.3 0.000335224
10176 0.000336743
10183.6 0.000338273
10191.3 0.000339814
10198.9 0.000341366
10206.6 0.000342928
10214.2 0.000344502
10221.9 0.000346087
10229.5 0.000347683
10237.2 0.00034929
10244.8 0.000350909
10252.5 0.00035254
10260.1 0.000354182
10267.8 0.000355836
10275.4 0.000357502
10283.1 0.00035918
10290.7 0.000360871
10298.4 0.000362573
10306 0.000364289
10313.7 0.000366016
10321.3 0.000367756
10329 0.00036951
10336.6 0.000371276
10344.3 0.000373055
10351.9 0.000374847
10359.6 0.000376652
10367.2 0.000378471
10374.9 0.000380304
10382.5 0.00038215
10390.2 0.00038401
10397.8 0.000385884
10405.5 0.000387773
10413.1 0.000389675
10420.8 0.000391592
10428.4 0.000393523
10436.1 0.00039547
10443.7 0.00039743
10451.4 0.000399406
10459 0.000401398
10466.7 0.000403404
10474.3 0.000405426
10482 0.000407463
10489.6 0.000409516
10497.3 0.000411586
10504.9 0.000413671
10512.6 0.000415772
10520.2 0.00041789
10527.9 0.000420025
10535.5 0.000422176
10543.2 0.000424344
10550.8 0.000426529
10558.5 0.000428732
10566.1 0.000430952
10573.8 0.000433189
10581.4 0.000435445
10589.1 0.000437718
10596.7 0.000440009
10604.4 0.000442319
10612 0.000444648
10619.7 0.000446995
10627.3 0.000449361
10635 0.000451746
10642.6 0.00045415
10650.3 0.000456574
10657.9 0.000459018
10665.6 0.000461481
10673.2 0.000463965
10680.9 0.000466469
10688.5 0.000468993
10696.2 0.000471538
10703.8 0.000474104
10711.5 0.000476691
10719.1 0.0004793
10726.8 0.00048193
10734.4 0.000484582
10742.1 0.000487256
10749.7 0.000489952
10757.4 0.00049267
10765 0.000495412
10772.7 0.000498176
10780.3 0.000500963
10788 0.000503773
10795.6 0.000506608
10803.3 0.000509465
10810.9 0.000512347
10818.6 0.000515253
10826.2 0.000518184
10833.9 0.000521139
10841.5 0.00052412
10849.2 0.000527125
10856.8 0.000530156
10864.5 0.000533212
10872.1 0.000536294
10879.8 0.000539403
10887.4 0.000542537
10895.1 0.000545698
10902.7 0.000548886
10910.4 0.0005521
10918 0.000555342
10925.7 0.000558611
10933.3 0.000561907
10941 0.000565231
10948.6 0.000568583
10956.3 0.000571963
10963.9 0.00057537
10971.6 0.000578806
10979.2 0.00058227
10986.9 0.000585762
10994.5 0.000589282
11002.2 0.000592831
11009.8 0.000596407
11017.5 0.000600011
11025.1 0.000603642
11032.8 0.0006073
11040.4 0.000610984
11048.1 0.000614692
11055.7 0.000618425
11063.4 0.000622179
11071 0.000625952
11078.7 0.000629741
11086.3 0.000633538
11094 0.000637335
11101.6 0.000641115
11109.3 0.000644848
11116.9 0.000648454
11124.6 0.00065138
11132.2 0.000654205
11139.9 0.000657789
11147.5 0.000662148
11155.2 0.000667747
11162.8 0.00067281
11170.5 0.000677779
11178.1 0.000682867
11185.8 0.000687786
11193.4 0.000692551
11201.1 0.000696913
11208.7 0.000701372
11216.4 0.000706023
11224 0.000710922
11231.7 0.000715962
11239.3 0.000720916
11247 0.000725801
11254.6 0.000730502
11262.3 0.000735445
11269.9 0.000740613
11277.6 0.000746379
11285.2 0.000751927
11292.9 0.000757215
11300.5 0.000761996
11308.2 0.000766662
11315.8 0.000771571
11323.5 0.000776546
11331.1 0.000781438
11338.8 0.000786678
11346.4 0.000792241
11354.1 0.00079855
11361.7 0.00080473
11369.4 0.000810792
11377 0.00081693
11384.7 0.000823045
