W N2
10000 0.000328364
10007.7 0.000329245
10015.3 0.000330129
10023 0.000331016
10030.6 0.000331907
10038.3 0.000332802
10045.9 0.0003337
10053.6 0.000334602
10061.2 0.000335507
10068.9 0.000336415
10076.5 0.000337327
10084.2 0.000338243
10091.8 0.000339162
10099.5 0.000340085
10107.1 0.000341012
10114.8 0.000341942
10122.4 0.000342876
10130.1 0.000343814
10137.7 0.000344755
10145.4 0.0003457
10153 0.000346649
10160.7 0.000347602
10168.3 0.000348558
10176 0.000349519
10183.6 0.000350483
10191.3 0.000351452
10198.9 0.000352424
10206.6 0.0003534
10214.2 0.00035438
10221.9 0.000355364
10229.5 0.000356352
10237.2 0.000357345
10244.8 0.000358341
10252.5 0.000359342
10260.1 0.000360346
10267.8 0.000361355
10275.4 0.000362368
10283.1 0.000363385
10290.7 0.000364407
10298.4 0.000365432
10306 0.000366462
10313.7 0.000367497
10321.3 0.000368536
10329 0.000369579
10336.6 0.000370627
10344.3 0.000371679
10351.9 0.000372735
10359.6 0.000373796
10367.2 0.000374862
10374.9 0.000375932
10382.5 0.000377007
10390.2 0.000378087
10397.8 0.000379171
10405.5 0.00038026
10413.1 0.000381354
10420.8 0.000382452
10428.4 0.000383555
10436.1 0.000384664
10443.7 0.000385777
10451.4 0.000386895
10459 0.000388018
10466.7 0.000389146
10474.3 0.000390278
10482 0.000391417
10489.6 0.00039256
10497.3 0.000393708
10504.9 0.000394862
10512.6 0.00039602
10520.2 0.000397184
10527.9 0.000398354
10535.5 0.000399528
10543.2 0.000400708
10550.8 0.000401894
10558.5 0.000403084
10566.1 0.000404281
10573.8 0.000405483
10581.4 0.00040669
10589.1 0.000407903
10596.7 0.000409122
10604.4 0.000410347
10612 0.000411577
10619.7 0.000412813
10627.3 0.000414055
10635 0.000415303
10642.6 0.000416557
10650.3 0.000417817
10657.9 0.000419083
10665.6 0.000420355
10673.2 0.000421633
10680.9 0.000422917
10688.5 0.000424207
10696.2 0.000425504
10703.8 0.000426807
10711.5 0.000428116
10719.1 0.000429432
10726.8 0.000430755
10734.4 0.000432083
10742.1 0.000433419
10749.7 0.000434761
10757.4 0.000436109
10765 0.000437465
10772.7 0.000438827
10780.3 0.000440196
10788 0.000441572
10795.6 0.000442955
10803.3 0.000444344
10810.9 0.000445741
10818.6 0.000447145
10826.2 0.000448556
10833.9 0.000449974
10841.5 0.000451399
10849.2 0.000452832
10856.8 0.000454272
10864.5 0.000455719
10872.1 0.000457173
10879.8 0.000458635
10887.4 0.000460105
10895.1 0.000461581
10902.7 0.000463066
10910.4 0.000464558
10918 0.000466057
10925.7 0.000467564
10933.3 0.000469078
10941 0.0004706
10948.6 0.00047213
10956.3 0.000473666
10963.9 0.000475211
10971.6 0.000476762
10979.2 0.000478321
10986.9 0.000479887
10994.5 0.00048146
11002.2 0.00048304
11009.8 0.000484626
11017.5 0.000486218
11025.1 0.000487816
11032.8 0.000489419
11040.4 0.000491027
11048.1 0.000492638
11055.7 0.000494251
11063.4 0.000495865
11071 0.000497478
11078.7 0.000499086
11086.3 0.000500685
11094 0.000502266
11101.6 0.000503819
11109.3 0.000505317
11116.9 0.0005067
11124.6 0.00050758
11132.2 0.000508728
11139.9 0.000510455
11147.5 0.000512771
11155.2 0.000515662
11162.8 0.000518059
11170.5 0.00052036
11178.1 0.000522687
11185.8 0.000524835
11193.4 0.000526844
11201.1 0.000528577
11208.7 0.000530462
11216.4 0.000532474
11224 0.00053465
11231.7 0.000536836
11239.3 0.000538938
11247 0.000540969
11254.6 0.00054291
11262.3 0.000545033
11269.9 0.000547306
11277.6 0.000549916
11285.2 0.00055224
11292.9 0.000554354
11300.5 0.000556101
11308.2 0.000557906
11315.8 0.000559873
11323.5 0.000561871
11331.1 0.000563858
11338.8 0.000566097
11346.4 0.000568553
11354.1 0.000571443
11361.7 0.00057411
11369.4 0.000576673
11377 0.000579266
11384.7 0.000581759
11392.3 0.000584045
11400 0.000586068
11407.7 0.000587641
11415.3 0.00058973
11423 0.000592078
11430.6 0.000594778
11438.3 0.000597429
11445.9 0.000600025
11453.6 0.000602582
11461.2 0.000605125
11468.9 0.000607894
11476.5 0.000610911
11484.2 0.000614599
11491.8 0.000617661
11499.5 0.000620215
11507.1 0.000621964
11514.8 0.000623415
11522.4 0.000625779
