W N1
10000 9.5348e-05
10007.7 9.54249e-05
10015.3 9.55021e-05
10023 9.55797e-05
10030.6 9.56575e-05
10038.3 9.57357e-05
10045.9 9.58142e-05
10053.6 9.58931e-05
10061.2 9.59723e-05
10068.9 9.60519e-05
10076.5 9.61318e-05
10084.2 9.62121e-05
10091.8 9.62927e-05
10099.5 9.63737e-05
10107.1 9.64551e-05
10114.8 9.65369e-05
10122.4 9.6619e-05
10130.1 9.67015e-05
10137.7 9.67844e-05
10145.4 9.68677e-05
10153 9.69513e-05
10160.7 9.70354e-05
10168.3 9.71199e-05
10176 9.72048e-05
10183.6 9.72901e-05
10191.3 9.73758e-05
10198.9 9.7462e-05
10206.6 9.75485e-05
10214.2 9.76356e-05
10221.9 9.7723e-05
10229.5 9.78109e-05
10237.2 9.78992e-05
10244.8 9.7988e-05
10252.5 9.80773e-05
10260.1 9.8167e-05
10267.8 9.82572e-05
10275.4 9.83478e-05
10283.1 9.8439e-05
10290.7 9.85306e-05
10298.4 9.86227e-05
10306 9.87153e-05
10313.7 9.88084e-05
10321.3 9.8902e-05
10329 9.89961e-05
10336.6 9.90907e-05
10344.3 9.91859e-05
10351.9 9.92816e-05
10359.6 9.93778e-05
10367.2 9.94746e-05
10374.9 9.95719e-05
10382.5 9.96697e-05
10390.2 9.97682e-05
10397.8 9.98671e-05
10405.5 9.99667e-05
10413.1 0.000100067
10420.8 0.000100168
10428.4 0.000100269
10436.1 0.000100371
10443.7 0.000100473
10451.4 0.000100576
10459 0.00010068
10466.7 0.000100784
10474.3 0.000100889
10482 0.000100995
10489.6 0.000101101
10497.3 0.000101208
10504.9 0.000101315
10512.6 0.000101424
10520.2 0.000101532
10527.9 0.000101642
10535.5 0.000101752
10543.2 0.000101863
10550.8 0.000101974
10558.5 0.000102087
10566.1 0.0001022
10573.8 0.000102313
10581.4 0.000102428
10589.1 0.000102543
10596.7 0.000102658
10604.4 0.000102775
10612 0.000102892
10619.7 0.00010301
10627.3 0.000103129
10635 0.000103248
10642.6 0.000103369
10650.3 0.00010349
10657.9 0.000103612
10665.6 0.000103734
10673.2 0.000103857
10680.9 0.000103982
10688.5 0.000104107
10696.2 0.000104232
10703.8 0.000104359
10711.5 0.000104486
10719.1 0.000104614
10726.8 0.000104743
10734.4 0.000104873
10742.1 0.000105004
10749.7 0.000105135
10757.4 0.000105267
10765 0.0001054
10772.7 0.000105534
10780.3 0.000105669
10788 0.000105804
10795.6 0.000105941
10803.3 0.000106078
10810.9 0.000106216
10818.6 0.000106355
10826.2 0.000106495
10833.9 0.000106635
10841.5 0.000106777
10849.2 0.000106919
10856.8 0.000107062
10864.5 0.000107206
10872.1 0.000107351
10879.8 0.000107496
10887.4 0.000107642
10895.1 0.00010779
10902.7 0.000107937
10910.4 0.000108086
10918 0.000108235
10925.7 0.000108385
10933.3 0.000108536
10941 0.000108687
10948.6 0.000108839
10956.3 0.000108992
10963.9 0.000109145
10971.6 0.000109299
10979.2 0.000109453
10986.9 0.000109608
10994.5 0.000109763
11002.2 0.000109919
11009.8 0.000110074
11017.5 0.00011023
11025.1 0.000110385
11032.8 0.000110541
11040.4 0.000110696
11048.1 0.00011085
11055.7 0.000111003
11063.4 0.000111155
11071 0.000111305
11078.7 0.000111452
11086.3 0.000111595
11094 0.000111733
11101.6 0.000111862
11109.3 0.000111976
11116.9 0.000112062
11124.6 0.000112152
11132.2 0.000113283
11139.9 0.000114558
11147.5 0.000115991
11155.2 0.000116546
11162.8 0.000116824
11170.5 0.000117074
11178.1 0.000117198
11185.8 0.000117194
11193.4 0.000117149
11201.1 0.000117179
11208.7 0.000117512
11216.4 0.000117874
11224 0.000118259
11231.7 0.000118418
11239.3 0.000118552
11247 0.000118665
11254.6 0.000118949
11262.3 0.000119334
11269.9 0.000119753
11277.6 0.000119984
11285.2 0.000119827
11292.9 0.00011961
11300.5 0.000119377
11308.2 0.000119644
11315.8 0.000119947
11323.5 0.000120254
11331.1 0.000120766
11338.8 0.000121391
11346.4 0.000122069
11354.1 0.000122571
11361.7 0.000122651
11369.4 0.000122698
11377 0.000122727
11384.7 0.000122495
11392.3 0.000122203
11400 0.00012184
11407.7 0.000121998
11415.3 0.000122569
11423 0.000123199
11430.6 0.000123792
11438.3 0.000124065
11445.9 0.000124317
11453.6 0.000124553
11461.2 0.000124978
11468.9 0.000125483
11476.5 0.000126042
11484.2 0.000126223
11491.8 0.000125511
11499.5 0.00012466
11507.1 0.000123613
11514.8 0.000124297
11522.4 0.000125227
11530.1 0.000126266
11537.7 0.000126974
11545.4 0.000127121
11553 0.000127232
11560.7 0.000127336
11568.3 0.000127194
11576 0.000127009
11583.6 0.000126789
11591.3 0.000126581
11598.9 0.0001264
11606.6 0.000126187
11614.2 0.00012591
11621.9 0.000126359
11629.5 0.000126882
11637.2 0.000127453
11644.8 0.000127831
11652.5 0.000127863
11660.1 0.000127876
11667.8 0.000127911
11675.4 0.000127229
11683.1 0.000126366
11690.7 0.000125401
11698.4 0.000124729
11706 0.000124923
11713.7 0.00012516
11721.3 0.000125415
11729 0.000125672
11736.6 0.000125934
11744.3 0.00012621
11751.9 0.000126427
11759.6 0.000126123
11767.2 0.000125766
11774.9 0.000125379
11782.5 0.000124714
11790.2 0.000123745
11797.8 0.000122685
11805.5 0.000121485
11813.1 0.000121625
11820.8 0.000121955
11828.4 0.000122337
11836.1 0.000122509
11843.7 0.000121853
11851.4 0.00012112
11859 0.000120337
11866.7 0.000119232
11874.3 0.000117842
11882 0.000116351
11889.6 0.000114731
11897.3 0.000114029
11904.9 0.000113405
11912.6 0.00011276
11920.2 0.000112066
11927.9 0.00011125
11935.5 0.00011039
11943.2 0.000109494
11950.8 0.000108238
11958.5 0.000106557
11966.1 0.000104776
11973.8 0.000102906
11981.4 0.00010073
11989.1 9.83686e-05
11996.7 9.58782e-05
12004.4 9.32762e-05
12012 9.21362e-05
12019.7 9.09996e-05
12027.3 8.98317e-05
12035 8.83761e-05
12042.6 8.60136e-05
12050.3 8.35172e-05
12057.9 8.09041e-05
12065.6 7.78878e-05
12073.2 7.43662e-05
12080.9 7.06759e-05
12088.5 6.68108e-05
12096.2 6.35093e-05
12103.8 6.04847e-05
12111.5 5.7341e-05
12119.1 5.40684e-05
12126.8 5.05119e-05
12134.4 4.67735e-05
12142.1 4.28802e-05
12149.7 3.88374e-05
12157.4 3.37699e-05
12165 2.84831e-05
12172.7 2.29864e-05
12180.3 1.73749e-05
12188 1.22212e-05
12195.6 6.87653e-06
12203.3 1.32932e-06
12210.9 -4.32e-06
12218.6 -9.85432e-06
12226.2 -1.55997e-05
12233.9 -2.15641e-05
12241.5 -2.8077e-05
12249.2 -3.54307e-05
12256.8 -4.30419e-05
12264.5 -5.09143e-05
12272.1 -5.9245e-05
12279.8 -6.80924e-05
12287.4 -7.72076e-05
12295.1 -8.65816e-05
12302.7 -9.52179e-05
12310.4 -0.000103172
12318 -0.000111419
12325.7 -0.000119966
12333.3 -0.000129463
12341 -0.000139779
12348.6 -0.000150395
12356.3 -0.000161333
12363.9 -0.000173468
12371.6 -0.000186511
12379.2 -0.000199808
12386.9 -0.000213317
12394.5 -0.00022528
12402.2 -0.000236409
12409.8 -0.00024792
12417.5 -0.000259812
12425.1 -0.000273182
12432.8 -0.000287612
12440.4 -0.000302291
12448.1 -0.000317233
12455.7 -0.000332503
12463.4 -0.000348069
12471 -0.000363859
12478.7 -0.00037984
12486.3 -0.000395403
12494 -0.000410657
12501.6 -0.000426191
12509.3 -0.000441975
12516.9 -0.000458134
12524.6 -0.000474662
12532.2 -0.000491352
12539.9 -0.000508211
12547.5 -0.000525755
12555.2 -0.000544232
12562.8 -0.000562388
12570.5 -0.000579929
12578.1 -0.000594595
12585.8 -0.000609669
12593.4 -0.00062744
12601.1 -0.00064723
12608.7 -0.000670357
12616.4 -0.000694382
12624 -0.000716574
12631.7 -0.000738811
12639.3 -0.000762587
12647 -0.000789015
12654.6 -0.000810664
12662.3 -0.000829639
12669.9 -0.000845529
12677.6 -0.000856937
12685.2 -0.000871252
12692.9 -0.000885984
12700.5 -0.000900082
12708.2 -0.000910927
12715.8 -0.000924448
12723.5 -0.000939961
12731.1 -0.000957109
12738.8 -0.000977282
12746.4 -0.000997818
12754.1 -0.00101811
12761.7 -0.00103909
12769.4 -0.00106301
12777 -0.00108675
12784.7 -0.00110536
12792.3 -0.00112129
12800 -0.0011343
12807.7 -0.00114324
12815.3 -0.00115399
12823 -0.00116479
12830.6 -0.00117498
12838.3 -0.00118411
12845.9 -0.00119553
12853.6 -0.00120742
12861.2 -0.00121924
12868.9 -0.00122979
12876.5 -0.00123951
12884.2 -0.00125056
12891.8 -0.00126262
12899.5 -0.00127628
12907.1 -0.00129235
12914.8 -0.00130569
12922.4 -0.00131792
