W N1
10000 -0.000153259
10007.7 -0.00015324
10015.3 -0.00015322
10023 -0.000153199
10030.6 -0.000153177
10038.3 -0.000153155
10045.9 -0.000153132
10053.6 -0.000153108
10061.2 -0.000153084
10068.9 -0.000153058
10076.5 -0.000153032
10084.2 -0.000153006
10091.8 -0.000152978
10099.5 -0.00015295
10107.1 -0.000152921
10114.8 -0.000152891
10122.4 -0.00015286
10130.1 -0.000152829
10137.7 -0.000152797
10145.4 -0.000152764
10153 -0.00015273
10160.7 -0.000152695
10168.3 -0.00015266
10176 -0.000152623
10183.6 -0.000152586
10191.3 -0.000152548
10198.9 -0.000152509
10206.6 -0.000152469
10214.2 -0.000152429
10221.9 -0.000152387
10229.5 -0.000152345
10237.2 -0.000152301
10244.8 -0.000152257
10252.5 -0.000152212
10260.1 -0.000152166
10267.8 -0.000152118
10275.4 -0.00015207
10283.1 -0.000152021
10290.7 -0.000151971
10298.4 -0.00015192
10306 -0.000151868
10313.7 -0.000151815
10321.3 -0.000151762
10329 -0.000151707
10336.6 -0.000151651
10344.3 -0.000151594
10351.9 -0.000151536
10359.6 -0.000151477
10367.2 -0.000151416
10374.9 -0.000151355
10382.5 -0.000151293
10390.2 -0.00015123
10397.8 -0.000151165
10405.5 -0.0001511
10413.1 -0.000151033
10420.8 -0.000150965
10428.4 -0.000150896
10436.1 -0.000150826
10443.7 -0.000150755
10451.4 -0.000150683
10459 -0.00015061
10466.7 -0.000150535
10474.3 -0.000150459
10482 -0.000150382
10489.6 -0.000150304
10497.3 -0.000150225
10504.9 -0.000150144
10512.6 -0.000150062
10520.2 -0.000149979
10527.9 -0.000149895
10535.5 -0.000149809
10543.2 -0.000149723
10550.8 -0.000149635
10558.5 -0.000149545
10566.1 -0.000149455
10573.8 -0.000149363
10581.4 -0.00014927
10589.1 -0.000149175
10596.7 -0.000149079
10604.4 -0.000148982
10612 -0.000148884
10619.7 -0.000148784
10627.3 -0.000148683
10635 -0.000148581
10642.6 -0.000148477
10650.3 -0.000148372
10657.9 -0.000148265
10665.6 -0.000148157
10673.2 -0.000148048
10680.9 -0.000147937
10688.5 -0.000147825
10696.2 -0.000147711
10703.8 -0.000147596
10711.5 -0.00014748
10719.1 -0.000147362
10726.8 -0.000147243
10734.4 -0.000147122
10742.1 -0.000147
10749.7 -0.000146877
10757.4 -0.000146752
10765 -0.000146625
10772.7 -0.000146497
10780.3 -0.000146368
10788 -0.000146237
10795.6 -0.000146104
10803.3 -0.00014597
10810.9 -0.000145835
10818.6 -0.000145698
10826.2 -0.00014556
10833.9 -0.00014542
10841.5 -0.000145278
10849.2 -0.000145135
10856.8 -0.000144991
10864.5 -0.000144845
10872.1 -0.000144697
10879.8 -0.000144548
10887.4 -0.000144398
10895.1 -0.000144246
